cell_line,depmap_id,author_ccle_id,lineage,lineage_subtype,trametinib_auc,trametinib_sensitivity,prism_auc,gdsc_auc,braf_mut,kras_mut,hras_mut,nras_mut,annotation_source,sensitivity_use
NCIH1299_LUNG,ACH-000510,NCIH1299_LUNG,lung,lung_NSC,0.6087111432455228,0.3912888567544772,0.694143470128467,0.420643,False,False,False,True,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
NCIH1355_LUNG,ACH-000666,NCIH1355_LUNG,lung,lung_NSC,0.5448398885089778,0.4551601114910222,0.599242249801595,0.510533,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
NCIH1573_LUNG,ACH-000916,NCIH1573_LUNG,lung,lung_NSC,0.7706026342237704,0.2293973657762296,0.74946863541499,0.774836,False,True,False,True,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
NCIH1581_LUNG,ACH-000015,NCIH1581_LUNG,lung,lung_NSC,0.745309436181889,0.25469056381811095,0.662920150946377,0.899323,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
NCIH1650_LUNG,ACH-000035,NCIH1650_LUNG,lung,lung_NSC,0.8945121809739,0.10548781902610005,0.841867694499946,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
NCIH1693_LUNG,ACH-000021,NCIH1693_LUNG,lung,lung_NSC,0.6863821652871727,0.31361783471282734,0.704623404351002,0.634947,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
NCIH1793_LUNG,ACH-000888,NCIH1793_LUNG,lung,lung_NSC,0.8012191250967533,0.1987808749032467,0.807655640450921,0.763994,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
NCIH1915_LUNG,ACH-000434,NCIH1915_LUNG,lung,lung_NSC,0.456519725422737,0.543480274577263,0.635140011853539,0.174938,False,False,True,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
NCIH2126_LUNG,ACH-000785,NCIH2126_LUNG,lung,lung_NSC,0.9014142117706654,0.09858578822933461,0.849428500822405,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
NCIH2347_LUNG,ACH-000875,NCIH2347_LUNG,lung,lung_NSC,0.3764784253139003,0.6235215746860997,0.470583827411964,0.329904,False,True,False,True,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
NCIH23_LUNG,ACH-000900,NCIH23_LUNG,lung,lung_NSC,0.7099773877371387,0.2900226122628613,0.754767150660788,0.585064,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
NCIH2444_LUNG,ACH-000186,NCIH2444_LUNG,lung,lung_NSC,0.6276523780986296,0.3723476219013704,0.537558211857119,0.898953,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
NCIH322_LUNG,ACH-000837,NCIH322_LUNG,lung,lung_NSC,0.7356277818633916,0.2643722181366084,0.713495827257078,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
NCIH522_LUNG,ACH-000343,NCIH522_LUNG,lung,lung_NSC,0.9046895803279871,0.09531041967201292,0.971276755552299,0.883819,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
NCIH838_LUNG,ACH-000416,NCIH838_LUNG,lung,lung_NSC,0.8531335791636729,0.14686642083632706,0.84948442866531,0.85392,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
NCIH841_LUNG,ACH-000292,NCIH841_LUNG,lung,lung_small,0.8519970415267398,0.14800295847326017,,0.906615,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
NUGC3_STOMACH,ACH-000911,NUGC3_STOMACH,gastric,gastric_adenocarcinoma,0.48072122549562,0.51927877450438,0.520302130713853,0.517793,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
OAW42_OVARY,ACH-000704,OAW42_OVARY,ovary,,0.7813115152554448,0.21868848474455516,0.840719979379126,0.663894,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
OSRC2_KIDNEY,ACH-000159,OSRC2_KIDNEY,kidney,,0.8043399903893197,0.1956600096106803,0.762761299031886,0.839988,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
PANC0403_PANCREAS,ACH-000235,PANC0403_PANCREAS,pancreas,,0.4788002726500569,0.5211997273499431,0.578006308851989,,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
PATU8988S_PANCREAS,ACH-000022,PATU8988S_PANCREAS,pancreas,,0.5326264458747405,0.4673735541252595,0.606816550279699,,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
PC3_PROSTATE,ACH-000090,PC3_PROSTATE,prostate,,0.9039085779205047,0.09609142207949528,0.808707494891658,0.97985,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
QGP1_PANCREAS,ACH-000347,QGP1_PANCREAS,pancreas,,0.5709870745303858,0.4290129254696142,0.63105515228602,,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
RCC10RGB_KIDNEY,ACH-000189,RCC10RGB_KIDNEY,kidney,,0.6912541322205652,0.3087458677794348,0.660963924253193,0.765542,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
RH30_SOFT_TISSUE,ACH-000833,RH30_SOFT_TISSUE,rhabdomyosarcoma,,0.6101821556124891,0.3898178443875109,0.643352463032087,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
SKMEL24_SKIN,ACH-000822,SKMEL24_SKIN,skin,melanoma,0.36032287852512757,0.6396771214748724,0.500288311003867,0.221386,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
SKUT1_SOFT_TISSUE,ACH-000939,SKUT1_SOFT_TISSUE,soft_tissue,leiomyosarcoma,0.8075376271303685,0.19246237286963153,0.734213465707432,0.905823,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
SNB75_CENTRAL_NERVOUS_SYSTEM,ACH-000504,SNB75_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,0.7796397720078305,0.22036022799216948,0.744194859787596,0.812996,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
SNU1041_UPPER_AERODIGESTIVE_TRACT,ACH-000618,SNU1041_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,0.8771394633621455,0.12286053663785446,0.820399970611821,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
SNU1105_CENTRAL_NERVOUS_SYSTEM,ACH-000368,SNU1105_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,0.7167178868782121,0.28328211312178786,0.70119424823369,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
SNU1214_UPPER_AERODIGESTIVE_TRACT,ACH-000715,SNU1214_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,0.4297089981434639,0.5702910018565361,0.544400665769965,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
SNU245_BILIARY_TRACT,ACH-000268,SNU245_BILIARY_TRACT,bile_duct,cholangiocarcinoma,0.5208547086473753,0.47914529135262474,0.600176212712626,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
SNU685_ENDOMETRIUM,ACH-000407,SNU685_ENDOMETRIUM,uterus,uterus_endometrium,0.7159669690432563,0.2840330309567437,0.700108618974883,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
SW480_LARGE_INTESTINE,ACH-000842,SW480_LARGE_INTESTINE,colorectal,,0.4371310398876486,0.5628689601123513,0.54608178673312,,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
SW48_LARGE_INTESTINE,ACH-000958,SW48_LARGE_INTESTINE,colorectal,colorectal_MSI,0.649982039230214,0.350017960769786,0.734548129285794,0.460759,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
SW579_THYROID,ACH-000163,SW579_THYROID,thyroid,,0.56157109081317,0.43842890918683,0.626640445258199,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
SW900_LUNG,ACH-000669,SW900_LUNG,lung,lung_NSC,0.6620321770286478,0.3379678229713522,0.734841427257028,0.490368,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
TE11_OESOPHAGUS,ACH-000488,TE11_OESOPHAGUS,esophagus,esophagus_squamous,0.8484525598914794,0.15154744010852061,0.799608830622731,0.894568,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
TE6_OESOPHAGUS,ACH-000605,TE6_OESOPHAGUS,esophagus,esophagus_squamous,0.8634467164968769,0.13655328350312312,0.773802080937673,0.952388,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
TEN_ENDOMETRIUM,ACH-000397,TEN_ENDOMETRIUM,uterus,uterus_endometrium,1.1485003430412701,-0.14850034304127013,1.30847686868859,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
TUHR4TKB_KIDNEY,ACH-000495,TUHR4TKB_KIDNEY,kidney,,0.883374268226462,0.11662573177353797,0.826454825394197,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
UACC257_SKIN,ACH-000579,UACC257_SKIN,skin,melanoma,0.31923449623569394,0.6807655037643061,0.499567482082074,0.113417,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
