cell_line,held_out_lineage,b1_rmse,b4_rmse,rmse_gain_vs_b1
MALME3M_SKIN,skin,0.6109589049940551,0.6103754651290038,0.0005834398650513828
MDAMB435S_SKIN,skin,0.2712936349641895,0.26934644615598274,0.0019471888082067679
SKMEL24_SKIN,skin,0.39899143199283305,0.4000984087516857,-0.0011069767588526291
UACC257_SKIN,skin,0.38806868062637245,0.3922171544327313,-0.004148473806358854
SKUT1_SOFT_TISSUE,soft_tissue,0.27794664677398323,0.2762899756847993,0.0016566710891839365
8505C_THYROID,thyroid,0.2874313490608675,0.28459601841587134,0.002835330644996137
CAL62_THYROID,thyroid,0.24015546156748932,0.23713534136000938,0.003020120207479937
SW579_THYROID,thyroid,0.3943200243884542,0.3919288203974043,0.002391203991049917
SNU1041_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,0.3596487209060779,0.35643486305799044,0.0032138578480874758
SNU1214_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,0.5755486767235183,0.5726381666804133,0.0029105100431049413
J82_URINARY_TRACT,urinary_tract,0.21821624153321953,0.21855091717718594,-0.00033467564396641447
