cell_line,depmap_id,author_ccle_id,lineage,lineage_subtype,trametinib_auc,trametinib_sensitivity,prism_auc,gdsc_auc,braf_mut,kras_mut,hras_mut,nras_mut,annotation_source,sensitivity_use,control_pc1,control_pc2,response_pc1,response_pc2
MIAPACA2_PANCREAS,ACH-000601,MIAPACA2_PANCREAS,pancreas,,0.4228856278886699,0.5771143721113301,0.517857793721413,0.362784,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-5.4062185,-13.3637,-2.8152142,2.49976
MSTO211H_PLEURA,ACH-000335,MSTO211H_PLEURA,mesothelioma,,0.3194007303148024,0.6805992696851977,0.480196879358079,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-25.06617,-4.457631,-0.92788595,0.3637403
NCIH1048_LUNG,ACH-000866,NCIH1048_LUNG,lung,lung_small,0.8518579311927313,0.1481420688072686,0.728686906364688,0.980791,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,10.251429,-14.510916,6.0615916,-4.696507
NCIH1299_LUNG,ACH-000510,NCIH1299_LUNG,lung,lung_NSC,0.6087111432455228,0.3912888567544772,0.694143470128467,0.420643,False,False,False,True,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-16.177818,-18.411495,4.581914,-0.82733065
NCIH1355_LUNG,ACH-000666,NCIH1355_LUNG,lung,lung_NSC,0.5448398885089778,0.4551601114910222,0.599242249801595,0.510533,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-1.5031142,7.5699697,-6.7705874,-0.69214904
NCIH1573_LUNG,ACH-000916,NCIH1573_LUNG,lung,lung_NSC,0.7706026342237704,0.2293973657762296,0.74946863541499,0.774836,False,True,False,True,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,34.112736,7.7116556,1.6605233,1.3452865
NCIH1581_LUNG,ACH-000015,NCIH1581_LUNG,lung,lung_NSC,0.745309436181889,0.2546905638181109,0.662920150946377,0.899323,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-7.002515,-46.816975,5.0001554,-2.533903
NCIH1650_LUNG,ACH-000035,NCIH1650_LUNG,lung,lung_NSC,0.8945121809739,0.1054878190261,0.841867694499946,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,3.3793771,18.77625,2.1014915,-0.54633933
NCIH1693_LUNG,ACH-000021,NCIH1693_LUNG,lung,lung_NSC,0.6863821652871727,0.3136178347128273,0.704623404351002,0.634947,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,4.3506885,1.8215353,-0.9619741,0.024640629
NCIH1793_LUNG,ACH-000888,NCIH1793_LUNG,lung,lung_NSC,0.8012191250967533,0.1987808749032467,0.807655640450921,0.763994,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-15.923448,11.598412,4.2092032,-0.69924843
NCIH1915_LUNG,ACH-000434,NCIH1915_LUNG,lung,lung_NSC,0.456519725422737,0.543480274577263,0.635140011853539,0.174938,False,False,True,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-14.634924,3.8542256,-2.240623,3.1190405
NCIH2126_LUNG,ACH-000785,NCIH2126_LUNG,lung,lung_NSC,0.9014142117706654,0.0985857882293346,0.849428500822405,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,39.029236,16.796852,7.6741786,1.2070765
