cell_line,depmap_id,disease,time_hours,pathway,mapped_genes,mean_delta_log1p_cpm
NCIH226_LUNG,ACH-000367,lung cancer,12,E2F_targets,196,0.014134954585104572
NCIH226_LUNG,ACH-000367,lung cancer,24,E2F_targets,196,-0.27406276975359234
NCIH226_LUNG,ACH-000367,lung cancer,48,E2F_targets,196,-0.19751868290560587
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,3,E2F_targets,196,-0.09577744226066434
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,6,E2F_targets,196,-0.21374594937173688
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,12,E2F_targets,196,-0.07643788916115858
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,24,E2F_targets,196,-0.7331031089534565
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,48,E2F_targets,196,-0.5085977825279139
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,3,E2F_targets,196,0.023825304392649203
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,6,E2F_targets,196,-0.06287473014422826
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,12,E2F_targets,196,-0.27655327441741007
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,24,E2F_targets,196,-0.9628093251768424
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,48,E2F_targets,196,-1.1717368709493656
RERFLCAD1_LUNG,ACH-000791,lung cancer,3,E2F_targets,196,0.14854725860819526
RERFLCAD1_LUNG,ACH-000791,lung cancer,6,E2F_targets,196,0.02472006149437963
RERFLCAD1_LUNG,ACH-000791,lung cancer,12,E2F_targets,196,-0.12465021379139958
RERFLCAD1_LUNG,ACH-000791,lung cancer,24,E2F_targets,196,-0.4727506956883839
RERFLCAD1_LUNG,ACH-000791,lung cancer,48,E2F_targets,196,-0.4942299395191426
SH10TC_STOMACH,ACH-000764,gastric cancer,3,E2F_targets,196,0.033846729263967396
SH10TC_STOMACH,ACH-000764,gastric cancer,6,E2F_targets,196,0.027147974286760603
SH10TC_STOMACH,ACH-000764,gastric cancer,12,E2F_targets,196,0.047729543581300854
SH10TC_STOMACH,ACH-000764,gastric cancer,24,E2F_targets,196,-0.14750860661876444
SH10TC_STOMACH,ACH-000764,gastric cancer,48,E2F_targets,196,-0.14697967636950163
SKMEL2_SKIN,ACH-001190,skin cancer,3,E2F_targets,196,-0.08147745655507457
SKMEL2_SKIN,ACH-001190,skin cancer,6,E2F_targets,196,-0.08933456135647637
SKMEL2_SKIN,ACH-001190,skin cancer,12,E2F_targets,196,-0.23392929592911077
SKMEL2_SKIN,ACH-001190,skin cancer,24,E2F_targets,196,-0.5995985357737055
SKMEL2_SKIN,ACH-001190,skin cancer,48,E2F_targets,196,-0.634248644417646
SKMEL3_SKIN,ACH-000423,skin cancer,3,E2F_targets,196,0.04432700422345376
SKMEL3_SKIN,ACH-000423,skin cancer,6,E2F_targets,196,-0.10520954825440232
SKMEL3_SKIN,ACH-000423,skin cancer,12,E2F_targets,196,-0.014665859086172921
SKMEL3_SKIN,ACH-000423,skin cancer,24,E2F_targets,196,-0.5922460130282811
SKMEL3_SKIN,ACH-000423,skin cancer,48,E2F_targets,196,-1.0547816891755377
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,3,E2F_targets,196,0.05828705612494021
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,6,E2F_targets,196,-0.7548916662225917
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,12,E2F_targets,196,-0.16318112885465427
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,24,E2F_targets,196,-0.9826171717473439
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,48,E2F_targets,196,-0.3274341785177893
SQ1_LUNG,ACH-000553,lung cancer,3,E2F_targets,196,0.06605490540363351
SQ1_LUNG,ACH-000553,lung cancer,6,E2F_targets,196,0.063452704220402
SQ1_LUNG,ACH-000553,lung cancer,12,E2F_targets,196,-0.04885915256276423
SQ1_LUNG,ACH-000553,lung cancer,24,E2F_targets,196,-0.16329571848012964
SQ1_LUNG,ACH-000553,lung cancer,48,E2F_targets,196,-0.4474225138523141
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,3,E2F_targets,196,0.03107235535066955
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,6,E2F_targets,196,0.019407318866982753
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,12,E2F_targets,196,-0.08841599371968484
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,24,E2F_targets,196,-0.04671067759698751
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,48,E2F_targets,196,-0.03327631950378418
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,3,E2F_targets,196,0.0412182061343777
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,6,E2F_targets,196,-0.11464534578274707
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,12,E2F_targets,196,-0.18400646898211265
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,24,E2F_targets,196,-0.660478762826141
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,48,E2F_targets,196,-1.2345054567772515
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,3,G2M_checkpoint,190,-0.004223763001592535
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,6,G2M_checkpoint,190,0.008188633228603161
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,12,G2M_checkpoint,190,-0.034744684947164435
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,24,G2M_checkpoint,190,-0.5160352738280045
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,48,G2M_checkpoint,190,-0.7257895036747581
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,3,G2M_checkpoint,190,0.17234908593328377
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,6,G2M_checkpoint,190,0.002199699847321761
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,12,G2M_checkpoint,190,-0.020240621817739387
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,24,G2M_checkpoint,190,-0.4102728476649837
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,48,G2M_checkpoint,190,-0.666150942287947
BT474_BREAST,ACH-000927,breast cancer,3,G2M_checkpoint,190,-0.15826417991989536
BT474_BREAST,ACH-000927,breast cancer,6,G2M_checkpoint,190,-0.1897477526413767
BT474_BREAST,ACH-000927,breast cancer,12,G2M_checkpoint,190,0.07275877783173008
BT474_BREAST,ACH-000927,breast cancer,24,G2M_checkpoint,190,-0.12422049265158804
BT474_BREAST,ACH-000927,breast cancer,48,G2M_checkpoint,190,-0.5214324113569762
BT549_BREAST,ACH-000288,breast cancer,3,G2M_checkpoint,190,0.07786706497794703
BT549_BREAST,ACH-000288,breast cancer,6,G2M_checkpoint,190,-0.0432226510424363
BT549_BREAST,ACH-000288,breast cancer,12,G2M_checkpoint,190,-0.13218673059814853
BT549_BREAST,ACH-000288,breast cancer,24,G2M_checkpoint,190,-0.053354251698443766
BT549_BREAST,ACH-000288,breast cancer,48,G2M_checkpoint,190,-0.12417633941299037
CAOV3_OVARY,ACH-000713,ovarian cancer,3,G2M_checkpoint,190,-0.058433511382655096
CAOV3_OVARY,ACH-000713,ovarian cancer,6,G2M_checkpoint,190,0.0771340592911369
CAOV3_OVARY,ACH-000713,ovarian cancer,12,G2M_checkpoint,190,-0.010012690644515189
CAOV3_OVARY,ACH-000713,ovarian cancer,24,G2M_checkpoint,190,-0.15578572750091552
CAOV3_OVARY,ACH-000713,ovarian cancer,48,G2M_checkpoint,190,-0.034744484016769814
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,3,G2M_checkpoint,190,-0.003289488428517392
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,6,G2M_checkpoint,190,-0.03193169769487883
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,12,G2M_checkpoint,190,-0.20661454451711556
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,24,G2M_checkpoint,190,-0.012385813813460501
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,48,G2M_checkpoint,190,-0.08618430495262146
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,3,G2M_checkpoint,190,0.10824223819531892
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,6,G2M_checkpoint,190,0.033012165521320545
