repeat,cell_line,split_half_rmse,full_target_noise_floor_approx,split_half_pcc,split_half_spearman
1,NCIH841_LUNG,0.4275522298620216,0.2137761149310108,0.19920360618696162,0.2224146193607031
1,NUGC3_STOMACH,0.5531475115923374,0.2765737557961687,0.24770832228381245,0.26330800839274054
1,OAW42_OVARY,0.2805777071680986,0.1402888535840493,0.4022880789414203,0.33377791432334164
1,OSRC2_KIDNEY,0.5856463843830298,0.2928231921915149,0.1278609692303072,0.1700218481537222
1,PANC0403_PANCREAS,0.6672641564535629,0.3336320782267814,0.24845296964012425,0.24479011430189815
1,PATU8988S_PANCREAS,0.5563068694811681,0.27815343474058407,0.2802051115280879,0.25037399524745796
1,PC3_PROSTATE,0.48016379324151837,0.24008189662075918,0.05545747479290418,0.06943667580152575
1,QGP1_PANCREAS,0.8507810371550023,0.42539051857750115,0.2064351518100763,0.20693136600041107
1,RCC10RGB_KIDNEY,0.48102508455666076,0.24051254227833038,0.2728495146569597,0.2519202600678848
1,RH30_SOFT_TISSUE,0.4552087525918795,0.22760437629593974,0.13336770749866822,0.13363666853420533
1,SKMEL24_SKIN,0.6642637151353156,0.3321318575676578,0.2795401759627319,0.26146153300333913
1,SKUT1_SOFT_TISSUE,0.4988043586911031,0.24940217934555156,0.18396402090287878,0.1912688568539892
1,SNB75_CENTRAL_NERVOUS_SYSTEM,0.6575688158614327,0.32878440793071634,0.06537105439762576,0.09203713739876879
1,SNU1041_UPPER_AERODIGESTIVE_TRACT,0.6395066966680357,0.31975334833401786,0.23362539929248025,0.23293859538290973
1,SNU1105_CENTRAL_NERVOUS_SYSTEM,0.6474830112846389,0.32374150564231946,0.12469837922663643,0.1553542768351427
1,SNU1214_UPPER_AERODIGESTIVE_TRACT,1.0033781318768067,0.5016890659384033,0.18873206442303897,0.19105292496449375
1,SNU245_BILIARY_TRACT,0.6222431331511783,0.31112156657558915,0.20422357245348657,0.22552488945983268
1,SNU685_ENDOMETRIUM,0.49454351217700976,0.24727175608850488,0.20141970648931054,0.1475018452803084
1,SW480_LARGE_INTESTINE,0.7855949066906883,0.39279745334534416,0.162329968328775,0.14566779095250013
1,SW48_LARGE_INTESTINE,0.8284983252055158,0.4142491626027579,0.06716407530232539,0.07028697612158727
1,SW579_THYROID,0.7001778802356395,0.35008894011781977,0.18180676027808837,0.19230403283630013
1,SW900_LUNG,0.6578631511221423,0.32893157556107117,0.27752583175073336,0.262573591546894
1,TE11_OESOPHAGUS,0.48759533290801454,0.24379766645400727,0.21924123474925458,0.20620319090568168
