outer_fold,model,inner_fold,control_dimension,response_rank,alpha,mean_rmse,n_validation_lines
1,CCLR,0,5,10,0.1,0.3248979797137287,19
1,CCLR,0,5,10,1.0,0.3247330209910282,19
1,CCLR,0,5,10,10.0,0.32348297378551644,19
1,CCLR,0,5,10,100.0,0.3212193840671224,19
1,CCLR,0,5,20,0.01,0.32480216679334445,19
1,CCLR,0,5,20,0.1,0.3247801227211612,19
1,CCLR,0,5,20,1.0,0.32456647212487083,19
1,CCLR,0,5,20,10.0,0.32296788129552645,19
1,CCLR,0,5,20,100.0,0.3204342911855209,19
1,CCLR,0,10,2,0.01,0.3228913325118783,19
1,CCLR,0,10,2,0.1,0.32288550811793254,19
1,CCLR,0,10,2,1.0,0.32282898692493417,19
1,CCLR,0,10,2,10.0,0.3224006126506101,19
1,CCLR,0,10,2,100.0,0.3216199963658561,19
1,CCLR,0,10,5,0.01,0.3243105331704589,19
1,CCLR,0,10,5,0.1,0.32429730637441023,19
1,CCLR,0,10,5,1.0,0.3241689311014481,19
1,CCLR,0,10,5,10.0,0.3231946152033449,19
1,CCLR,0,10,5,100.0,0.3214011406826714,19
1,CCLR,0,10,10,0.01,0.32745872768928247,19
1,CCLR,0,10,10,0.1,0.3274313353329943,19
1,CCLR,0,10,10,1.0,0.32716529113042947,19
1,CCLR,0,10,10,10.0,0.3251334094752254,19
1,CCLR,0,10,10,100.0,0.3212189424990825,19
1,CCLR,0,10,20,0.01,0.3282673072924003,19
1,CCLR,0,10,20,0.1,0.3282320653000403,19
1,CCLR,0,10,20,1.0,0.3278899738726593,19
1,CCLR,0,10,20,10.0,0.3252920725966904,19
1,CCLR,0,10,20,100.0,0.32056448693288986,19
1,CCLR,0,20,2,0.01,0.32135837792952016,19
1,CCLR,0,20,2,0.1,0.32135419415738276,19
1,CCLR,0,20,2,1.0,0.3213139511386574,19
1,CCLR,0,20,2,10.0,0.32103524809965545,19
1,CCLR,0,20,2,100.0,0.3209611044806026,19
1,CCLR,0,20,5,0.01,0.3223261820762556,19
1,CCLR,0,20,5,0.1,0.32231582834840294,19
1,CCLR,0,20,5,1.0,0.3222157546399391,19
1,CCLR,0,20,5,10.0,0.321486971622776,19
1,CCLR,0,20,5,100.0,0.32065446643210693,19
1,CCLR,0,20,10,0.01,0.3267171535203268,19
1,CCLR,0,20,10,0.1,0.3266879991203207,19
1,CCLR,0,20,10,1.0,0.32640513204466437,19
1,CCLR,0,20,10,10.0,0.32426666297638773,19
1,CCLR,0,20,10,100.0,0.3205302754707839,19
1,CCLR,0,20,20,0.01,0.3279698222064835,19
1,CCLR,0,20,20,0.1,0.32793071652942385,19
1,CCLR,0,20,20,1.0,0.32755136338474844,19
1,CCLR,0,20,20,10.0,0.32468919149731756,19
1,CCLR,0,20,20,100.0,0.3198294980075406,19
1,CCLR,0,30,2,0.01,0.3212009346315861,19
1,CCLR,0,30,2,0.1,0.32119738191019537,19
1,CCLR,0,30,2,1.0,0.3211632718457957,19
1,CCLR,0,30,2,10.0,0.3209317506062314,19
1,CCLR,0,30,2,100.0,0.3209570263788484,19
1,CCLR,0,30,5,0.01,0.3220933011565926,19
1,CCLR,0,30,5,0.1,0.322083505605727,19
1,CCLR,0,30,5,1.0,0.32198888810071197,19
1,CCLR,0,30,5,10.0,0.32130433554445387,19
1,CCLR,0,30,5,100.0,0.3205983633482612,19
1,CCLR,0,30,10,0.01,0.3270676381023835,19
1,CCLR,0,30,10,0.1,0.32703705271212297,19
1,CCLR,0,30,10,1.0,0.3267402593858888,19
1,CCLR,0,30,10,10.0,0.3244935256287077,19
1,CCLR,0,30,10,100.0,0.32052619400321314,19
1,CCLR,0,30,20,0.01,0.32913248535203327,19
1,CCLR,0,30,20,0.1,0.329088880170941,19
1,CCLR,0,30,20,1.0,0.32866573348686023,19
1,CCLR,0,30,20,10.0,0.325462603086595,19
1,CCLR,0,30,20,100.0,0.31985811608190157,19
1,CCLR,1,5,2,0.01,0.300827476809091,19
1,CCLR,1,5,2,0.1,0.3008229779815402,19
1,CCLR,1,5,2,1.0,0.3007795028992118,19
1,CCLR,1,5,2,10.0,0.3004635011100871,19
1,CCLR,1,5,2,100.0,0.3001127084491408,19
1,CCLR,1,5,5,0.01,0.30257821689615644,19
1,CCLR,1,5,5,0.1,0.30256499437697953,19
1,CCLR,1,5,5,1.0,0.3024368125521122,19
1,CCLR,1,5,5,10.0,0.3014753434731303,19
1,CCLR,1,5,5,100.0,0.29990043378449716,19
1,CCLR,1,5,10,0.01,0.3038167161356881,19
1,CCLR,1,5,10,0.1,0.30379664258811573,19
1,CCLR,1,5,10,1.0,0.30360195287338626,19
1,CCLR,1,5,10,10.0,0.30213516952140657,19
1,CCLR,1,5,10,100.0,0.2996447414566955,19
1,CCLR,1,5,20,0.01,0.3043003098003087,19
1,CCLR,1,5,20,0.1,0.3042769056799546,19
1,CCLR,1,5,20,1.0,0.3040499092953908,19
1,CCLR,1,5,20,10.0,0.30233969247183384,19
1,CCLR,1,5,20,100.0,0.29944874476026934,19
1,CCLR,1,10,2,0.01,0.3020474837456748,19
1,CCLR,1,10,2,0.1,0.30203550700153214,19
1,CCLR,1,10,2,1.0,0.3019193992382832,19
1,CCLR,1,10,2,10.0,0.30104989714543945,19
