cell_line,depmap_id,lineage,trametinib_sensitivity,braf_mut,kras_mut,b4_rmse,cclr_rmse,b4_pcc_context,response_rms,baseline_novelty,min_condition_cells,high_error,high_response_magnitude,high_baseline_novelty,low_cell_support,error_type
J82_URINARY_TRACT,ACH-000396,urinary_tract,0.1338005358583698,False,False,0.2170049801337361,0.2199920434178697,0.0878382435051363,0.24497867,2.726777060998548,98,False,False,False,False,not_high_error
JHH5_LIVER,ACH-000734,liver,0.5389583650531476,False,False,0.3658729488094865,0.3705313097789515,0.0884837105290074,0.41497517,2.522546365468871,45,True,True,False,False,high_magnitude_target
KNS42_CENTRAL_NERVOUS_SYSTEM,ACH-000622,central_nervous_system,0.0969920202773488,False,False,0.2881008569488426,0.2878884702015285,0.0934898624687581,0.30019757,2.0839028294212714,58,False,False,False,False,not_high_error
KNS60_CENTRAL_NERVOUS_SYSTEM,ACH-000445,central_nervous_system,0.0764641852164607,False,False,0.2794372307595698,0.278573163274424,0.1024826558909264,0.29829937,2.835213499901573,37,False,False,False,True,not_high_error
KNS81_CENTRAL_NERVOUS_SYSTEM,ACH-000479,central_nervous_system,0.2146750813959427,False,False,0.3430973123922669,0.3427032437061139,0.0994303848037762,0.38446578,2.313847026765152,54,False,False,False,False,not_high_error
KYSE270_OESOPHAGUS,ACH-000873,esophagus,0.1526436394965289,False,False,0.2528909858287284,0.2524299410833184,0.0205503527120175,0.2881199,2.6916621359819928,75,False,False,False,False,not_high_error
LI7_LIVER,ACH-000471,liver,0.1807514114088597,False,False,0.4273768467329996,0.4271393188199407,0.0295970105588522,0.44097292,2.71609446567393,42,True,True,False,False,high_magnitude_target
LK2_LUNG,ACH-000769,lung,0.1928991032281564,False,False,0.3084774876703006,0.3085490621838895,0.08480348483608,0.31925243,3.0611717535896013,57,False,False,True,False,not_high_error
LMSU_STOMACH,ACH-000255,gastric,0.211055647711811,False,False,0.2394253824952437,0.2397184331874724,0.1788983156810693,0.2832253,2.6821068218893296,100,False,False,False,False,not_high_error
LN229_CENTRAL_NERVOUS_SYSTEM,ACH-000595,central_nervous_system,0.3571114042281058,False,False,0.3123941718297998,0.3122775130853467,0.1076091892447301,0.3612747,2.8144034522625376,82,False,False,False,False,not_high_error
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate,0.0548008588448323,False,False,0.2655532989516462,0.267808003799822,0.1665907026240597,0.26919225,3.856483924842639,51,False,False,True,False,not_high_error
LOVO_LARGE_INTESTINE,ACH-000950,colorectal,0.4822149047367852,False,True,0.29008723438826,0.2919027557115817,0.2023054703308824,0.3472808,2.1608369415270907,79,False,False,False,False,not_high_error
LUDLU1_LUNG,ACH-000390,lung,0.318592208567599,False,False,0.3215508359445547,0.3218417729850464,0.0791555424876389,0.34499282,2.477446803005343,26,False,False,False,True,not_high_error
