cell_line,depmap_id,lineage,outer_fold,model,b2_fallback,b3_neighbor_cell_line,rmse_delta,nrmse_delta,pcc_delta,spearman_delta,signed_top50_overlap,pcc_context,rmse_gain_vs_b1,nrmse_gain_vs_b1,rmse_gain_vs_b4,nrmse_gain_vs_b4,rmse_gain_vs_cclr,outer_test_response_used_for_fit,report_order
MSTO211H_PLEURA,ACH-000335,mesothelioma,2,B1_MEAN_W5,False,,0.2364829470222949,0.8062709633740299,0.5788991331086513,0.4448024751730569,0.25,,0.0,0.0,-0.00033895705431888357,,0.0009942469349356053,False,0
NCIH1048_LUNG,ACH-000866,lung,4,B1_MEAN_W5,False,,0.4092242219014209,0.962357296614591,0.2716485081453028,0.2337552396142967,0.07,,0.0,0.0,-0.0005043392801443725,,-0.0020969109378936035,False,0
NCIH1299_LUNG,ACH-000510,lung,3,B1_MEAN_W5,False,,0.1803249936392556,0.8122203826127665,0.5934679418056715,0.4536910082833496,0.38,,0.0,0.0,-0.00299652058510802,,-0.002785789357306917,False,0
NCIH1355_LUNG,ACH-000666,lung,1,B1_MEAN_W5,False,,0.3312985620539369,0.8771949617557007,0.4632607310443521,0.3640794622279401,0.13,,0.0,0.0,0.0005539810157733083,,0.0017888335501991537,False,0
NCIH1573_LUNG,ACH-000916,lung,4,B1_MEAN_W5,False,,0.3730303038100609,0.9343130145660437,0.348662815946556,0.2887519265543903,0.14,,0.0,0.0,-0.0008583061533644076,,-0.0005300762820187321,False,0
NCIH1581_LUNG,ACH-000015,lung,2,B1_MEAN_W5,False,,0.2475628420836757,0.9046671709805794,0.4323018712512806,0.3616572754918131,0.19,,0.0,0.0,-0.0027837280959211175,,-0.002265320127350423,False,0
NCIH1650_LUNG,ACH-000035,lung,4,B1_MEAN_W5,False,,0.3507420084298522,0.9340217188984252,0.3545453492331122,0.2940092673246819,0.16,,0.0,0.0,0.0003265601159921916,,-0.0003840790560499241,False,0
NCIH1693_LUNG,ACH-000021,lung,3,B1_MEAN_W5,False,,0.2417759454680615,0.8322662446788116,0.544753024522131,0.440040300681751,0.3299999999999999,,0.0,0.0,0.0015389894575384977,,0.0016910932561383096,False,0
NCIH1793_LUNG,ACH-000888,lung,2,B1_MEAN_W5,False,,0.3202122005835032,0.9412537101222912,0.3515491123550077,0.2807192413206903,0.13,,0.0,0.0,-0.0006878127837570136,,-0.0005336308072281803,False,0
NCIH1915_LUNG,ACH-000434,lung,2,B1_MEAN_W5,False,,0.3435828997848396,0.8743107001408464,0.4876696520898689,0.3966521442266417,0.18,,0.0,0.0,-0.002089693699311057,,-0.001527128086878382,False,0
