outer_fold,model,inner_fold,dimension,alpha,mean_rmse
1,B4,3,10,0.01,0.36187041494438527
1,B4,3,10,0.1,0.361836955271154
1,B4,3,10,1.0,0.36151245080160577
1,B4,3,10,10.0,0.3590694830924531
1,B4,3,10,100.0,0.35499259414101336
1,B3,3,20,,0.45810096245739973
1,B4,3,20,0.01,0.36596756677365017
1,B4,3,20,0.1,0.3659182803809107
1,B4,3,20,1.0,0.36543969492024725
1,B4,3,20,10.0,0.3617947144341034
1,B4,3,20,100.0,0.3550840064613151
1,B3,3,30,,0.46451948743078625
1,B4,3,30,0.01,0.368587057232218
1,B4,3,30,0.1,0.3685284146588649
1,B4,3,30,1.0,0.3679586665813308
1,B4,3,30,10.0,0.3635971652837399
1,B4,3,30,100.0,0.3552434652544316
2,B3,0,5,,0.43797933277088963
2,B4,0,5,0.01,0.33644846929651734
2,B4,0,5,0.1,0.33641879164787114
2,B4,0,5,1.0,0.3361308475025243
2,B4,0,5,10.0,0.3339555319277113
2,B4,0,5,100.0,0.3302803745295024
2,B3,0,10,,0.43848153639638426
2,B4,0,10,0.01,0.339531959738783
2,B4,0,10,0.1,0.3394862677207475
2,B4,0,10,1.0,0.33904267703045443
2,B4,0,10,10.0,0.33567296979775874
2,B4,0,10,100.0,0.32973558984800533
2,B3,0,20,,0.4387640955133633
2,B4,0,20,0.01,0.3447224780328146
2,B4,0,20,0.1,0.3446594780882229
2,B4,0,20,1.0,0.34404705281472564
2,B4,0,20,10.0,0.3393370358582976
2,B4,0,20,100.0,0.3301790133420062
2,B3,0,30,,0.4573554169842579
2,B4,0,30,0.01,0.3473239206614008
2,B4,0,30,0.1,0.3472516054087622
2,B4,0,30,1.0,0.3465483452006578
2,B4,0,30,10.0,0.34111995099135134
2,B4,0,30,100.0,0.3302960537947331
2,B3,1,5,,0.46459377623539255
2,B4,1,5,0.01,0.3333628713931663
2,B4,1,5,0.1,0.3333380558912915
2,B4,1,5,1.0,0.33309752367366047
2,B4,1,5,10.0,0.3312967016786555
2,B4,1,5,100.0,0.3284462010673896
2,B3,1,10,,0.4411061221544374
2,B4,1,10,0.01,0.3370172255604973
2,B4,1,10,0.1,0.33697412432423784
2,B4,1,10,1.0,0.3365559040915136
2,B4,1,10,10.0,0.3333932111458823
2,B4,1,10,100.0,0.32793790974857917
2,B3,1,20,,0.4486322946654841
2,B4,1,20,0.01,0.34055608354842354
2,B4,1,20,0.1,0.34049654110566346
2,B4,1,20,1.0,0.3399184276470263
2,B4,1,20,10.0,0.33552155990156707
2,B4,1,20,100.0,0.32760691166878514
2,B3,1,30,,0.4576201736050364
2,B4,1,30,0.01,0.34187324580197914
