cell_line,depmap_id,lineage,outer_fold,model,b2_fallback,b3_neighbor_cell_line,rmse_delta,nrmse_delta,pcc_delta,spearman_delta,signed_top50_overlap,pcc_context,rmse_gain_vs_b1,nrmse_gain_vs_b1
NCIH1581_LUNG,ACH-000015,lung,2,B0,False,,0.2736507414271919,1.0,,,0.0,0.1533534654508591,-0.026087899343516185,-0.09533282901942064
NCIH1581_LUNG,ACH-000015,lung,2,B1,False,,0.24756284208367574,0.9046671709805794,0.4323018712512806,0.36165727549181315,0.19,,0.0,0.0
NCIH1581_LUNG,ACH-000015,lung,2,B2,False,,0.25172210235449755,0.9198663268430107,0.4081067806672679,0.3350812782774808,0.2,0.07922289135930187,-0.004159260270821807,-0.015199155862431368
NCIH1581_LUNG,ACH-000015,lung,2,B3,False,NCIH841_LUNG,0.3239758469277193,1.1839026828067885,0.2646154887116476,0.2525702506596382,0.16999999999999998,0.10713598514071207,-0.07641300484404356,-0.2792355118262091
NCIH1581_LUNG,ACH-000015,lung,2,B4,False,,0.2447791139877546,0.894494612772248,0.4434949005571194,0.36828805012598553,0.21000000000000002,0.15450515035424317,0.0027837280959211452,0.010172558208331406
NCIH1793_LUNG,ACH-000888,lung,2,B0,False,,0.3401975441264396,1.0,,,0.0,0.11222212303196188,-0.019985343542936407,-0.05874628987770869
NCIH1793_LUNG,ACH-000888,lung,2,B1,False,,0.3202122005835032,0.9412537101222913,0.3515491123550077,0.2807192413206903,0.13,,0.0,0.0
NCIH1793_LUNG,ACH-000888,lung,2,B2,False,,0.3260682631083356,0.9584674220550733,0.3160991826623188,0.2534335784726497,0.11000000000000001,0.022887272023380208,-0.005856062524832395,-0.017213711932781983
NCIH1793_LUNG,ACH-000888,lung,2,B3,False,NCIH1355_LUNG,0.45510141200236354,1.3377563120597313,0.19149306599390825,0.19629595959775034,0.05,0.016795612243845688,-0.13488921141886034,-0.39650260193744
NCIH1793_LUNG,ACH-000888,lung,2,B4,False,,0.3195243877997462,0.9392319060392454,0.3566655357137991,0.28371126327453516,0.14,0.07324399164393125,0.0006878127837570136,0.002021804083045864
