cell_line,depmap_id,disease,time_hours,model,rmse_delta,pcc_delta,spearman_delta,rmse_gain_vs_b1,external_test,temporal_response_used_for_fit
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,6,CCLR_FIXED_D20_R20_A100,0.2744885519148911,0.281422384800601,0.19362396630167414,-0.006722311184340135,True,False
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,12,B1,0.3911072868202175,0.17746699624130702,0.13103159702960085,0.0,True,False
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,12,B1,0.3992032818188804,0.24541363296580568,0.17390539783536924,0.0,True,False
BT474_BREAST,ACH-000927,breast cancer,12,B1,0.46018453817381727,0.07915720630353254,0.04461061476897519,0.0,True,False
BT549_BREAST,ACH-000288,breast cancer,12,B1,0.41625961829989755,0.12170807014101467,0.09982411160754723,0.0,True,False
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,12,B1,0.43565784380737577,0.14047771533554437,0.10817369452248245,0.0,True,False
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,12,B1,0.4679171297022134,0.2378193365512355,0.17108112473960907,0.0,True,False
IALM_LUNG,ACH-000672,lung cancer,12,B1,0.46055613311677246,0.11180821272277756,0.08898678823008464,0.0,True,False
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,12,B1,0.5459608081766196,0.2298890351967713,0.18919638541151146,0.0,True,False
NCIH226_LUNG,ACH-000367,lung cancer,12,B1,0.3459130172458073,0.06867535035751406,0.02770930808475314,0.0,True,False
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,12,B1,0.30581657324814654,0.32408287368682737,0.2266975170180041,0.0,True,False
RERFLCAD1_LUNG,ACH-000791,lung cancer,12,B1,0.4012199892375681,0.2366334749475332,0.14480315457990958,0.0,True,False
SH10TC_STOMACH,ACH-000764,gastric cancer,12,B1,0.27834486227979544,0.15900918682930806,0.08407174250626437,0.0,True,False
SKMEL2_SKIN,ACH-001190,skin cancer,12,B1,0.3491184908065219,0.2622717000888947,0.1888997262166684,0.0,True,False
SKMEL3_SKIN,ACH-000423,skin cancer,12,B1,0.3908682976361526,0.0878295179551992,0.06550677488522505,0.0,True,False
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,12,B1,0.4493362927892093,0.19070312017203966,0.14805524215046068,0.0,True,False
SQ1_LUNG,ACH-000553,lung cancer,12,B1,0.2992324376406565,0.2577561324120394,0.1915192856923139,0.0,True,False
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,12,B1,0.3019689244379027,0.3033330333719604,0.20794143098024875,0.0,True,False
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,12,B4_FIXED_D20_A100,0.3970102151962638,0.19396789760980107,0.13801384002979883,-0.005902928376046279,True,False
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,12,B4_FIXED_D20_A100,0.3980480830000634,0.269096079283162,0.183558811142863,0.0011551988188169826,True,False
BT474_BREAST,ACH-000927,breast cancer,12,B4_FIXED_D20_A100,0.45906395101952713,0.08805000431940549,0.05040985981537637,0.0011205871542901424,True,False
BT549_BREAST,ACH-000288,breast cancer,12,B4_FIXED_D20_A100,0.4150110408138651,0.12187655407839991,0.10197418110120283,0.001248577486032465,True,False
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,12,B4_FIXED_D20_A100,0.43614846447662897,0.14529447929568381,0.10685957908438919,-0.0004906206692532056,True,False
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,12,B4_FIXED_D20_A100,0.4702928138353954,0.23370020249035892,0.1641395621024854,-0.00237568413318201,True,False
IALM_LUNG,ACH-000672,lung cancer,12,B4_FIXED_D20_A100,0.4638685438766725,0.11741764906073648,0.09703615559391604,-0.0033124107599000197,True,False
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,12,B4_FIXED_D20_A100,0.5417923203317364,0.2666013491618107,0.2189090324825276,0.0041684878448832174,True,False
NCIH226_LUNG,ACH-000367,lung cancer,12,B4_FIXED_D20_A100,0.34748966268062387,0.07688063176740106,0.03908102901199232,-0.0015766454348165593,True,False
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,12,B4_FIXED_D20_A100,0.30170923484379325,0.37104996588827954,0.25618432152730625,0.004107338404353289,True,False
RERFLCAD1_LUNG,ACH-000791,lung cancer,12,B4_FIXED_D20_A100,0.4056335023032988,0.25271809214327356,0.1540082136011108,-0.004413513065730734,True,False
SH10TC_STOMACH,ACH-000764,gastric cancer,12,B4_FIXED_D20_A100,0.27597284943774475,0.16903260472171136,0.09347124743173306,0.002372012842050686,True,False
SKMEL2_SKIN,ACH-001190,skin cancer,12,B4_FIXED_D20_A100,0.3480099843248169,0.31648542849129796,0.2216099009133365,0.0011085064817050183,True,False
SKMEL3_SKIN,ACH-000423,skin cancer,12,B4_FIXED_D20_A100,0.40060592570071607,0.1159496356002786,0.08644185693328323,-0.009737628064563464,True,False
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,12,B4_FIXED_D20_A100,0.4485415171025483,0.19932256160846085,0.15805132446669334,0.0007947756866609756,True,False
SQ1_LUNG,ACH-000553,lung cancer,12,B4_FIXED_D20_A100,0.3057628975757234,0.2821995808301659,0.21455240886076488,-0.006530459935066901,True,False
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,12,B4_FIXED_D20_A100,0.3048199710642889,0.32703417417901,0.22202191669757265,-0.002851046626386189,True,False
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,12,CCLR_FIXED_D20_R20_A100,0.3968302488407002,0.19271370720778175,0.1374461573067938,-0.005722962020482669,True,False
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,12,CCLR_FIXED_D20_R20_A100,0.39768727364561696,0.269444056436614,0.18699661399612455,0.0015160081732634167,True,False
BT474_BREAST,ACH-000927,breast cancer,12,CCLR_FIXED_D20_R20_A100,0.4583293727201177,0.0796968769147472,0.04510917130670382,0.0018551654536995699,True,False
BT549_BREAST,ACH-000288,breast cancer,12,CCLR_FIXED_D20_R20_A100,0.4148177005900849,0.11696758790930115,0.0985236106996073,0.0014419177098126679,True,False
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,12,CCLR_FIXED_D20_R20_A100,0.4348844790256862,0.1472457530750138,0.10964939061873683,0.000773364781689545,True,False
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,12,CCLR_FIXED_D20_R20_A100,0.46960604639740805,0.23441873087943235,0.16814903894479236,-0.0016889166951946644,True,False
IALM_LUNG,ACH-000672,lung cancer,12,CCLR_FIXED_D20_R20_A100,0.46372550368127424,0.11156500585129497,0.09359023027048854,-0.0031693705645017833,True,False
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,12,CCLR_FIXED_D20_R20_A100,0.5420642274818038,0.2631065497132973,0.2167174785390226,0.003896580694815799,True,False
NCIH226_LUNG,ACH-000367,lung cancer,12,CCLR_FIXED_D20_R20_A100,0.3466770066116264,0.06753534173905992,0.032643020493044024,-0.0007639893658191177,True,False
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,12,CCLR_FIXED_D20_R20_A100,0.30135171523139653,0.36787547127128695,0.2570610533211569,0.004464858016750006,True,False
RERFLCAD1_LUNG,ACH-000791,lung cancer,12,CCLR_FIXED_D20_R20_A100,0.4061759674643707,0.24657395611667687,0.14906159138611708,-0.004955978226802604,True,False
SH10TC_STOMACH,ACH-000764,gastric cancer,12,CCLR_FIXED_D20_R20_A100,0.27593785854852687,0.16531473930597682,0.0921489905362967,0.0024070037312685644,True,False
SKMEL2_SKIN,ACH-001190,skin cancer,12,CCLR_FIXED_D20_R20_A100,0.3491315892718736,0.31055918862428283,0.2170349644049878,-1.3098465351690791e-05,True,False
SKMEL3_SKIN,ACH-000423,skin cancer,12,CCLR_FIXED_D20_R20_A100,0.40172957777733503,0.10688842360473172,0.07659415449912335,-0.010861280141182428,True,False
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,12,CCLR_FIXED_D20_R20_A100,0.4493838749479183,0.1919461780338932,0.155035156001582,-4.758215870903637e-05,True,False
SQ1_LUNG,ACH-000553,lung cancer,12,CCLR_FIXED_D20_R20_A100,0.305431243766812,0.27750689857353344,0.2135262238835509,-0.006198806126155532,True,False
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,12,CCLR_FIXED_D20_R20_A100,0.3046197348667234,0.32542021016560524,0.2195117188105339,-0.0026508104288207046,True,False
