component,direction,rank,gene_id,gene_symbol,loading
5,negative,9,ENSG00000259877,RP11-46C24.7,-0.04056420711516893
5,negative,10,ENSG00000264575,LINC00526,-0.03758222435955689
5,negative,11,ENSG00000183287,CCBE1,-0.037514840209040494
5,negative,12,ENSG00000188868,ZNF563,-0.037485956988229104
5,negative,13,ENSG00000130830,MPP1,-0.03741750102203016
5,negative,14,ENSG00000152402,GUCY1A2,-0.03724600156859258
5,negative,15,ENSG00000272367,CTC-428H11.2,-0.03683888863711552
5,negative,16,ENSG00000188613,NANOS1,-0.0368352090935768
5,negative,17,ENSG00000075223,SEMA3C,-0.036443585968009055
5,negative,18,ENSG00000148356,LRSAM1,-0.03624538242381797
5,negative,19,ENSG00000236144,AD000090.2,-0.03599123692381413
5,negative,20,ENSG00000182463,TSHZ2,-0.03588950837574847
5,negative,21,ENSG00000112406,HECA,-0.03576863147165023
5,negative,22,ENSG00000017373,SRCIN1,-0.035415268339306395
5,negative,23,ENSG00000163328,GPR155,-0.035269988843563846
5,negative,24,ENSG00000270175,RP11-793H13.11,-0.03466380333948595
5,negative,25,ENSG00000205420,KRT6A,-0.034434747395440134
5,positive,1,ENSG00000164400,CSF2,0.10588730435892502
5,positive,2,ENSG00000187678,SPRY4,0.08413422719977215
5,positive,3,ENSG00000250072,CTC-529P8.1,0.07268601301559462
5,positive,4,ENSG00000113070,HBEGF,0.05939276074582369
5,positive,5,ENSG00000167772,ANGPTL4,0.05866641482520555
5,positive,6,ENSG00000170961,HAS2,0.05849457668739394
5,positive,7,ENSG00000138166,DUSP5,0.057326769519495384
5,positive,8,ENSG00000120738,EGR1,0.05661211491207063
5,positive,9,ENSG00000254605,RP11-626H12.2,0.05626312320360438
5,positive,10,ENSG00000115009,CCL20,0.055468625168253204
5,positive,11,ENSG00000122861,PLAU,0.05527616466376379
5,positive,12,ENSG00000240476,LINC00973,0.05416788830528518
5,positive,13,ENSG00000163235,TGFA,0.05401197134611892
5,positive,14,ENSG00000164283,ESM1,0.05382830505653544
5,positive,15,ENSG00000168306,ACOX2,0.05372215247169067
5,positive,16,ENSG00000011422,PLAUR,0.05252191002800458
5,positive,17,ENSG00000006468,ETV1,0.05221398320409892
5,positive,18,ENSG00000005001,PRSS22,0.04975635742537236
5,positive,19,ENSG00000110092,CCND1,0.04940587752055762
5,positive,20,ENSG00000249992,TMEM158,0.04931993392417915
5,positive,21,ENSG00000120875,DUSP4,0.049098495362418955
5,positive,22,ENSG00000224259,LINC01133,0.048174372159085745
5,positive,23,ENSG00000139318,DUSP6,0.04797674769806989
5,positive,24,ENSG00000135074,ADAM19,0.047494299014832084
5,positive,25,ENSG00000142627,EPHA2,0.04698804557564833
