outer_fold,component,direction,collection,top_gene_count,pathway_gene_count,overlap_count,overlap_genes,p_value,fdr_bh
0,12,positive,G2M_checkpoint,50,187,1,MCM5,0.2498424474885676,0.6059390940465911
0,12,positive,apoptosis,50,159,2,CASP7;IL6,0.02478994479538037,0.14511187197295827
0,12,positive,epithelial_mesenchymal_transition,50,195,5,COL1A2;COL5A1;IGFBP3;IL6;SERPINE1,1.230822619053175e-05,0.000738493571431905
0,12,positive,immediate_early_response,50,8,0,,1.0,1.0
0,13,negative,MAPK_KRAS_signaling,50,384,0,,1.0,1.0
0,13,negative,E2F_targets,50,195,1,ESPL1,0.2590389627049177,0.6059390940465911
0,13,negative,G2M_checkpoint,50,187,1,ESPL1,0.2498424474885676,0.6059390940465911
0,13,negative,apoptosis,50,159,1,TNF,0.2167651816129296,0.6059390940465911
0,13,negative,epithelial_mesenchymal_transition,50,195,1,MFAP5,0.2590389627049177,0.6059390940465911
0,13,negative,immediate_early_response,50,8,0,,1.0,1.0
0,13,positive,MAPK_KRAS_signaling,50,384,1,CCL20,0.4468440685515185,0.9626802195005785
0,13,positive,E2F_targets,50,195,0,,1.0,1.0
0,13,positive,G2M_checkpoint,50,187,0,,1.0,1.0
0,13,positive,apoptosis,50,159,0,,1.0,1.0
0,13,positive,epithelial_mesenchymal_transition,50,195,0,,1.0,1.0
0,13,positive,immediate_early_response,50,8,0,,1.0,1.0
0,14,negative,MAPK_KRAS_signaling,50,384,0,,1.0,1.0
0,14,negative,E2F_targets,50,195,0,,1.0,1.0
0,14,negative,G2M_checkpoint,50,187,1,EFNA5,0.2498424474885676,0.6059390940465911
0,14,negative,apoptosis,50,159,0,,1.0,1.0
0,14,negative,epithelial_mesenchymal_transition,50,195,1,COL3A1,0.2590389627049177,0.6059390940465911
0,14,negative,immediate_early_response,50,8,0,,1.0,1.0
0,14,positive,MAPK_KRAS_signaling,50,384,3,CCL20;INHBA;LCP1,0.021059636979382085,0.13514205548266578
0,14,positive,E2F_targets,50,195,0,,1.0,1.0
0,14,positive,G2M_checkpoint,50,187,0,,1.0,1.0
0,14,positive,apoptosis,50,159,1,HMOX1,0.2167651816129296,0.6059390940465911
0,14,positive,epithelial_mesenchymal_transition,50,195,1,INHBA,0.2590389627049177,0.6059390940465911
0,14,positive,immediate_early_response,50,8,2,EGR1;SPRY4,6.400325770302598e-05,0.002560130308121039
0,15,negative,MAPK_KRAS_signaling,50,384,0,,1.0,1.0
0,15,negative,E2F_targets,50,195,0,,1.0,1.0
0,15,negative,G2M_checkpoint,50,187,1,MEIS1,0.2498424474885676,0.6059390940465911
0,15,negative,apoptosis,50,159,0,,1.0,1.0
0,15,negative,epithelial_mesenchymal_transition,50,195,0,,1.0,1.0
0,15,negative,immediate_early_response,50,8,0,,1.0,1.0
0,15,positive,MAPK_KRAS_signaling,50,384,1,LIF,0.4468440685515185,0.9626802195005785
0,15,positive,E2F_targets,50,195,0,,1.0,1.0
0,15,positive,G2M_checkpoint,50,187,0,,1.0,1.0
0,15,positive,apoptosis,50,159,3,IL18;LEF1;TIMP3,0.001879100618517223,0.03861799438185083
0,15,positive,epithelial_mesenchymal_transition,50,195,1,TIMP3,0.2590389627049177,0.6059390940465911
0,15,positive,immediate_early_response,50,8,0,,1.0,1.0
0,16,negative,MAPK_KRAS_signaling,50,384,1,ETV1,0.4468440685515185,0.9626802195005785
0,16,negative,E2F_targets,50,195,0,,1.0,1.0
0,16,negative,G2M_checkpoint,50,187,1,E2F2,0.2498424474885676,0.6059390940465911
0,16,negative,apoptosis,50,159,0,,1.0,1.0
0,16,negative,epithelial_mesenchymal_transition,50,195,0,,1.0,1.0
0,16,negative,immediate_early_response,50,8,0,,1.0,1.0
0,16,positive,MAPK_KRAS_signaling,50,384,2,HBEGF;MTMR10,0.11711436088896492,0.4324222555900243
0,16,positive,E2F_targets,50,195,0,,1.0,1.0
0,16,positive,G2M_checkpoint,50,187,0,,1.0,1.0
0,16,positive,apoptosis,50,159,0,,1.0,1.0
0,16,positive,epithelial_mesenchymal_transition,50,195,2,PTHLH;TAGLN,0.03605769434394831,0.15791690953554005
0,16,positive,immediate_early_response,50,8,0,,1.0,1.0
0,17,negative,MAPK_KRAS_signaling,50,384,1,AKR1B10,0.4468440685515185,0.9626802195005785
0,17,negative,E2F_targets,50,195,0,,1.0,1.0
0,17,negative,G2M_checkpoint,50,187,1,KIF11,0.2498424474885676,0.6059390940465911
0,17,negative,apoptosis,50,159,0,,1.0,1.0
0,17,negative,epithelial_mesenchymal_transition,50,195,1,MGP,0.2590389627049177,0.6059390940465911
0,17,negative,immediate_early_response,50,8,0,,1.0,1.0
0,17,positive,MAPK_KRAS_signaling,50,384,1,GPRC5B,0.4468440685515185,0.9626802195005785
0,17,positive,E2F_targets,50,195,0,,1.0,1.0
0,17,positive,G2M_checkpoint,50,187,0,,1.0,1.0
0,17,positive,apoptosis,50,159,0,,1.0,1.0
0,17,positive,epithelial_mesenchymal_transition,50,195,0,,1.0,1.0
0,17,positive,immediate_early_response,50,8,0,,1.0,1.0
0,18,negative,MAPK_KRAS_signaling,50,384,2,CCL20;MALL,0.11711436088896492,0.4324222555900243
0,18,negative,E2F_targets,50,195,0,,1.0,1.0
0,18,negative,G2M_checkpoint,50,187,0,,1.0,1.0
0,18,negative,apoptosis,50,159,0,,1.0,1.0
0,18,negative,epithelial_mesenchymal_transition,50,195,0,,1.0,1.0
0,18,negative,immediate_early_response,50,8,0,,1.0,1.0
0,18,positive,MAPK_KRAS_signaling,50,384,2,CXCL10;MAFB,0.11711436088896492,0.4324222555900243
0,18,positive,E2F_targets,50,195,0,,1.0,1.0
0,18,positive,G2M_checkpoint,50,187,0,,1.0,1.0
0,18,positive,apoptosis,50,159,0,,1.0,1.0
0,18,positive,epithelial_mesenchymal_transition,50,195,2,MMP1;TNC,0.03605769434394831,0.15791690953554005
0,18,positive,immediate_early_response,50,8,0,,1.0,1.0
0,19,negative,MAPK_KRAS_signaling,50,384,2,NR4A2;YPEL1,0.11711436088896492,0.4324222555900243
0,19,negative,E2F_targets,50,195,1,DONSON,0.2590389627049177,0.6059390940465911
0,19,negative,G2M_checkpoint,50,187,0,,1.0,1.0
0,19,negative,apoptosis,50,159,0,,1.0,1.0
0,19,negative,epithelial_mesenchymal_transition,50,195,1,NT5E,0.2590389627049177,0.6059390940465911
0,19,negative,immediate_early_response,50,8,0,,1.0,1.0
0,19,positive,MAPK_KRAS_signaling,50,384,3,AKR1B10;PLAT;TFF2,0.021059636979382085,0.13514205548266578
0,19,positive,E2F_targets,50,195,0,,1.0,1.0
0,19,positive,G2M_checkpoint,50,187,0,,1.0,1.0
0,19,positive,apoptosis,50,159,2,PLAT;RHOB,0.02478994479538037,0.14511187197295827
0,19,positive,epithelial_mesenchymal_transition,50,195,1,RHOB,0.2590389627049177,0.6059390940465911
0,19,positive,immediate_early_response,50,8,0,,1.0,1.0
0,20,negative,MAPK_KRAS_signaling,50,384,2,GADD45G;GPRC5B,0.11711436088896492,0.4324222555900243
0,20,negative,E2F_targets,50,195,0,,1.0,1.0
0,20,negative,G2M_checkpoint,50,187,0,,1.0,1.0
0,20,negative,apoptosis,50,159,0,,1.0,1.0
0,20,negative,epithelial_mesenchymal_transition,50,195,1,TGM2,0.2590389627049177,0.6059390940465911
0,20,negative,immediate_early_response,50,8,0,,1.0,1.0
0,20,positive,MAPK_KRAS_signaling,50,384,3,AKR1B10;KRT13;TMEM158,0.021059636979382085,0.13514205548266578
0,20,positive,E2F_targets,50,195,0,,1.0,1.0
0,20,positive,G2M_checkpoint,50,187,0,,1.0,1.0
0,20,positive,apoptosis,50,159,0,,1.0,1.0
0,20,positive,epithelial_mesenchymal_transition,50,195,3,AREG;COL3A1;CXCL6,0.0033468928464270723,0.03861799438185083
0,20,positive,immediate_early_response,50,8,0,,1.0,1.0
1,1,negative,MAPK_KRAS_signaling,50,384,2,BTG2;GALNT3,0.11711436088896492,0.4324222555900243
1,1,negative,E2F_targets,50,195,0,,1.0,1.0
1,1,negative,G2M_checkpoint,50,187,0,,1.0,1.0
1,1,negative,apoptosis,50,159,3,BMF;BTG2;LUM,0.001879100618517223,0.03861799438185083
1,1,negative,epithelial_mesenchymal_transition,50,195,2,LUM;MATN2,0.03605769434394831,0.15791690953554005
1,1,negative,immediate_early_response,50,8,0,,1.0,1.0
1,1,positive,MAPK_KRAS_signaling,50,384,3,DUSP6;ETV4;HBEGF,0.021059636979382085,0.13514205548266578
1,1,positive,E2F_targets,50,195,13,ASF1B;AURKB;CDC25A;DEPDC1;DIAPH3;MCM4;MYBL2;PSMC3IP;RRM2;SPC25;SUV39H1;TCF19;TOP2A,2.405898238994233e-18,4.811796477988466e-16
1,1,positive,G2M_checkpoint,50,187,15,AURKB;CCNA2;CCND1;CDC25A;CDC45;CDC6;CENPA;CHAF1A;E2F1;GINS2;MYBL2;STIL;SUV39H1;TOP2A;UBE2C,2.50483830252556e-22,1.001935321010224e-19
1,1,positive,apoptosis,50,159,3,CCND1;SLC20A1;TOP2A,0.001879100618517223,0.03861799438185083
1,1,positive,epithelial_mesenchymal_transition,50,195,0,,1.0,1.0
1,1,positive,immediate_early_response,50,8,2,DUSP6;ETV4,6.400325770302598e-05,0.002560130308121039
1,2,negative,MAPK_KRAS_signaling,50,384,1,AKAP12,0.4468440685515185,0.9626802195005785
1,2,negative,E2F_targets,50,195,1,CDK1,0.2590389627049177,0.6059390940465911
1,2,negative,G2M_checkpoint,50,187,1,CDK1,0.2498424474885676,0.6059390940465911
1,2,negative,apoptosis,50,159,1,BMF,0.2167651816129296,0.6059390940465911
1,2,negative,epithelial_mesenchymal_transition,50,195,0,,1.0,1.0
1,2,negative,immediate_early_response,50,8,0,,1.0,1.0
1,2,positive,MAPK_KRAS_signaling,50,384,4,ANGPTL4;FCER1G;PLAT;SYNPO,0.002833930021249421,0.03861799438185083
1,2,positive,E2F_targets,50,195,0,,1.0,1.0
1,2,positive,G2M_checkpoint,50,187,0,,1.0,1.0
1,2,positive,apoptosis,50,159,4,NEDD9;PLAT;SLC20A1;TNFSF10,0.00010482924409048046,0.0038119725123811074
1,2,positive,epithelial_mesenchymal_transition,50,195,0,,1.0,1.0
1,2,positive,immediate_early_response,50,8,0,,1.0,1.0
1,3,negative,MAPK_KRAS_signaling,50,384,2,CBL;MX1,0.11711436088896492,0.4324222555900243
1,3,negative,E2F_targets,50,195,1,CDKN1B,0.2590389627049177,0.6059390940465911
1,3,negative,G2M_checkpoint,50,187,1,CDKN1B,0.2498424474885676,0.6059390940465911
1,3,negative,apoptosis,50,159,1,CDKN1B,0.2167651816129296,0.6059390940465911
1,3,negative,epithelial_mesenchymal_transition,50,195,3,COL16A1;COL7A1;SNTB1,0.0033468928464270723,0.03861799438185083
1,3,negative,immediate_early_response,50,8,0,,1.0,1.0
1,3,positive,MAPK_KRAS_signaling,50,384,1,DUSP6,0.4468440685515185,0.9626802195005785
1,3,positive,E2F_targets,50,195,0,,1.0,1.0
1,3,positive,G2M_checkpoint,50,187,1,POLQ,0.2498424474885676,0.6059390940465911
1,3,positive,apoptosis,50,159,1,GCH1,0.2167651816129296,0.6059390940465911
1,3,positive,epithelial_mesenchymal_transition,50,195,1,MYLK,0.2590389627049177,0.6059390940465911
1,3,positive,immediate_early_response,50,8,1,DUSP6,0.012189583767522912,0.10523381669803952
1,4,negative,MAPK_KRAS_signaling,50,384,0,,1.0,1.0
1,4,negative,E2F_targets,50,195,0,,1.0,1.0
1,4,negative,G2M_checkpoint,50,187,0,,1.0,1.0
1,4,negative,apoptosis,50,159,1,TNFSF10,0.2167651816129296,0.6059390940465911
1,4,negative,epithelial_mesenchymal_transition,50,195,3,DKK1;EDIL3;SPOCK1,0.0033468928464270723,0.03861799438185083
1,4,negative,immediate_early_response,50,8,0,,1.0,1.0
1,4,positive,MAPK_KRAS_signaling,50,384,4,ANGPTL4;CSF2;G0S2;PCP4,0.002833930021249421,0.03861799438185083
1,4,positive,E2F_targets,50,195,1,CDC25A,0.2590389627049177,0.6059390940465911
1,4,positive,G2M_checkpoint,50,187,1,CDC25A,0.2498424474885676,0.6059390940465911
1,4,positive,apoptosis,50,159,0,,1.0,1.0
1,4,positive,epithelial_mesenchymal_transition,50,195,2,AREG;PTX3,0.03605769434394831,0.15791690953554005
1,4,positive,immediate_early_response,50,8,0,,1.0,1.0
1,5,negative,MAPK_KRAS_signaling,50,384,0,,1.0,1.0
1,5,negative,E2F_targets,50,195,0,,1.0,1.0
1,5,negative,G2M_checkpoint,50,187,0,,1.0,1.0
1,5,negative,apoptosis,50,159,0,,1.0,1.0
1,5,negative,epithelial_mesenchymal_transition,50,195,1,SERPINE2,0.2590389627049177,0.6059390940465911
1,5,negative,immediate_early_response,50,8,0,,1.0,1.0
1,5,positive,MAPK_KRAS_signaling,50,384,1,HKDC1,0.4468440685515185,0.9626802195005785
1,5,positive,E2F_targets,50,195,0,,1.0,1.0
1,5,positive,G2M_checkpoint,50,187,0,,1.0,1.0
1,5,positive,apoptosis,50,159,0,,1.0,1.0
1,5,positive,epithelial_mesenchymal_transition,50,195,1,MATN3,0.2590389627049177,0.6059390940465911
1,5,positive,immediate_early_response,50,8,0,,1.0,1.0
1,6,negative,MAPK_KRAS_signaling,50,384,1,G0S2,0.4468440685515185,0.9626802195005785
1,6,negative,E2F_targets,50,195,2,RPA2;WEE1,0.03605769434394831,0.15791690953554005
1,6,negative,G2M_checkpoint,50,187,1,RPA2,0.2498424474885676,0.6059390940465911
1,6,negative,apoptosis,50,159,1,WEE1,0.2167651816129296,0.6059390940465911
1,6,negative,epithelial_mesenchymal_transition,50,195,1,IL32,0.2590389627049177,0.6059390940465911
1,6,negative,immediate_early_response,50,8,0,,1.0,1.0
1,6,positive,MAPK_KRAS_signaling,50,384,1,PCP4,0.4468440685515185,0.9626802195005785
1,6,positive,E2F_targets,50,195,0,,1.0,1.0
1,6,positive,G2M_checkpoint,50,187,0,,1.0,1.0
1,6,positive,apoptosis,50,159,0,,1.0,1.0
1,6,positive,epithelial_mesenchymal_transition,50,195,0,,1.0,1.0
1,6,positive,immediate_early_response,50,8,0,,1.0,1.0
1,7,negative,MAPK_KRAS_signaling,50,384,3,ETV1;HBEGF;SPRY2,0.021059636979382085,0.13514205548266578
1,7,negative,E2F_targets,50,195,3,DEPDC1;HMMR;SPC25,0.0033468928464270723,0.03861799438185083
1,7,negative,G2M_checkpoint,50,187,4,HMMR;NDC80;RAD54L;RPS6KA5,0.00019547120898536052,0.006339606777903585
