cell_line,model,pc1_shift,pc2_shift,pc3_shift,pc4_shift,pc5_shift,pc6_shift,pc7_shift,pc8_shift,pc9_shift,pc10_shift
SNU1079_BILIARY_TRACT,NO_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNU1079_BILIARY_TRACT,B1,-6.521274147133973,-2.596598398301048,2.7640277126619486,-3.2548846315903663,-0.6187244753385124,-0.45575336144161344,1.1628160919419395,0.037547348508037814,1.7943835909820227,1.6432304706312775
SNU1079_BILIARY_TRACT,B4_FIXED_D20_A100,-6.405827212841522,-2.5472197272995967,3.268064690173356,-3.4654156474654902,-0.5519325479028283,-0.42792250644222685,1.1738936081833267,0.05047243141608154,1.8863385077579053,1.3721815339234933
SNU1079_BILIARY_TRACT,CCLR_FIXED_D20_R20_A100,-6.441609384968865,-2.5785352480900667,3.2739831482928627,-3.4379181667573415,-0.39780519351976273,-0.3608169785820254,1.1300412500629895,-0.02469128288601896,1.8274483691199972,1.3412054147543353
SQ1_LUNG,NO_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQ1_LUNG,B1,-6.521274147133973,-2.596598398301048,2.7640277126619486,-3.2548846315903663,-0.6187244753385124,-0.45575336144161344,1.1628160919419395,0.037547348508037814,1.7943835909820227,1.6432304706312775
SQ1_LUNG,B4_FIXED_D20_A100,-7.431311382414783,-3.512914771996781,4.363074814611572,-4.403007001452469,-0.8677879508185626,-0.6420204712270037,1.0593189194230224,0.34212929290995236,2.731066516462274,2.0832782953967794
SQ1_LUNG,CCLR_FIXED_D20_R20_A100,-7.55620116810382,-3.511886852055384,4.342001389135672,-4.474974423111057,-0.6933402736075809,-0.6250443155414966,1.0595906959214383,0.3615128887146195,2.6502762874789045,1.9488389512175444
UMUC1_URINARY_TRACT,NO_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UMUC1_URINARY_TRACT,B1,-6.521274147133973,-2.596598398301048,2.7640277126619486,-3.2548846315903663,-0.6187244753385124,-0.45575336144161344,1.1628160919419395,0.037547348508037814,1.7943835909820227,1.6432304706312775
UMUC1_URINARY_TRACT,B4_FIXED_D20_A100,-7.229114758769322,-3.47340590110345,3.3172135529454856,-3.584266191591813,-0.8337386123550766,-0.6013045071627661,1.4633037115620833,0.14128281654914432,2.298889384667351,1.8418491855023489
UMUC1_URINARY_TRACT,CCLR_FIXED_D20_R20_A100,-7.218981453695225,-3.4410162191530804,3.342358987121103,-3.527671170025008,-0.7063513220730036,-0.6323563354007584,1.465680110235218,0.15741385241481942,2.3609945851161465,1.9311497922025052
