cell_line,depmap_id,disease,condition,time_hours,n_cells,library_size,source_tag,eligible_t10,eligible_t20,eligible_t30
IALM_LUNG,ACH-000672,lung cancer,control,48,26,977734,DMSO_48hr,True,False,False
IALM_LUNG,ACH-000672,lung cancer,trametinib,3,16,668110,Tram_3hr,True,False,False
IALM_LUNG,ACH-000672,lung cancer,trametinib,6,10,470997,Tram_6hr,True,False,False
IALM_LUNG,ACH-000672,lung cancer,trametinib,12,16,563249,Tram_12hr,True,False,False
IALM_LUNG,ACH-000672,lung cancer,trametinib,24,25,989812,Tram_24hr,True,False,False
IALM_LUNG,ACH-000672,lung cancer,trametinib,48,30,1069951,Tram_48hr,True,False,False
IALM_LUNG,ACH-000672,lung cancer,untreated,48,17,541402,Untreated_48hr,True,False,False
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,control,3,23,756445,DMSO_3hr,True,False,False
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,control,6,21,626794,DMSO_6hr,True,False,False
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,control,12,22,685445,DMSO_12hr,True,False,False
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,control,24,16,505809,DMSO_24hr,True,False,False
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,control,48,42,1391275,DMSO_48hr,True,False,False
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,trametinib,3,15,476301,Tram_3hr,True,False,False
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,trametinib,6,26,727131,Tram_6hr,True,False,False
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,trametinib,12,22,792494,Tram_12hr,True,False,False
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,trametinib,24,41,1242265,Tram_24hr,True,False,False
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,trametinib,48,47,1298216,Tram_48hr,True,False,False
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,untreated,48,26,883904,Untreated_48hr,True,False,False
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,control,3,36,1025000,DMSO_3hr,True,False,False
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,control,6,32,831052,DMSO_6hr,True,False,False
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,control,12,17,397051,DMSO_12hr,True,False,False
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,control,24,40,1215251,DMSO_24hr,True,False,False
