cell_line,dmso_6h_vs_24h_pcc,dmso_6h_vs_24h_spearman,dmso_6h_vs_24h_rmse,trametinib_24h_vs_dmso_24h_rmse,control_to_treatment_rmse_ratio,primary_strict_eligible
KNS60_CENTRAL_NERVOUS_SYSTEM,0.9698566592060756,0.9589468587380646,0.4356826088729104,0.39301914491620477,1.10855314431515,True
KNS81_CENTRAL_NERVOUS_SYSTEM,0.9585033642073453,0.9442753029404891,0.5139247297658274,0.5163528947893825,0.9952974699124219,True
KYSE270_OESOPHAGUS,0.9817628221111392,0.9748241919439684,0.3152037007306241,0.3826045094979028,0.8238368678515323,True
LI7_LIVER,0.9501403372704142,0.9356759904478489,0.5577364186776427,0.5948672561171019,0.9375813056482136,True
LK2_LUNG,0.9728197406798579,0.9558440133428047,0.39943632363545534,0.42691773319008497,0.9356283250422077,True
LMSU_STOMACH,0.9800783862615825,0.9649319105743087,0.3544643914277677,0.3828809957998052,0.9257821498487339,True
LN229_CENTRAL_NERVOUS_SYSTEM,0.9699680321742745,0.9574886875634092,0.4346135686805069,0.483244810195391,0.899365206849876,True
LNCAPCLONEFGC_PROSTATE,0.9764810271974153,0.9641832497201024,0.36014990752278636,0.35440352558650234,1.016214234682836,True
LOVO_LARGE_INTESTINE,0.9845162367627333,0.9698229586342658,0.28934147351613493,0.4730120961393796,0.6116999456835802,True
LUDLU1_LUNG,0.9632040302150984,0.9412705686892848,0.47003007702040667,0.46389533414666323,1.013224411676889,True
MALME3M_SKIN,0.9472465265411141,0.9369193050051426,0.5614255537459336,0.8749593346032375,0.6416590252168918,True
MDAMB435S_SKIN,0.973736391892568,0.9612680874270859,0.4072934966177121,0.411826721674028,0.9889923970016106,True
MDAMB468_BREAST,0.9790517063114553,0.965498051030668,0.35545088363739696,0.3883885863708551,0.9151939477901975,True
MIAPACA2_PANCREAS,0.9860011797908362,0.9711260237797584,0.29369740390550664,0.45040396157480345,0.6520755343239341,True
MSTO211H_PLEURA,0.9813665899755082,0.9640989769523282,0.3358514483655109,0.40202279611856134,0.8354039910375238,True
NCIH1048_LUNG,0.9590497809159694,0.9463439227624579,0.49674311858497266,0.5655830549868255,0.8782850090806622,True
NCIH1299_LUNG,0.9892150431263901,0.9829626788594836,0.25026390141565674,0.2994221018645293,0.8358230733711378,True
NCIH1355_LUNG,0.9666334792845676,0.9509798561686997,0.4505434872992377,0.5089691403080376,0.885207867468272,True
NCIH1573_LUNG,0.9514305925507656,0.9369340675711386,0.5455574832110507,0.5295621097477471,1.030204905465995,True
NCIH1581_LUNG,0.9814288961871236,0.9728101573345257,0.3300799926075719,0.3559742319469896,0.9272581074259505,True
NCIH1650_LUNG,0.9557267626647871,0.9420044291459672,0.5249044534251716,0.5038011847914543,1.0418880885372528,True
NCIH1693_LUNG,0.9816202993542819,0.9746545728161794,0.3273112176064326,0.38579935555939326,0.8483975229348031,True
NCIH1793_LUNG,0.9659094753303372,0.9537702659087122,0.44211480902314676,0.4535213590384013,0.9748489243385586,True
NCIH1915_LUNG,0.9733379330931015,0.9602624359517791,0.40643544672210374,0.5297013086092289,0.7672917550255463,True
NCIH2126_LUNG,0.9766295613513545,0.9588725923204107,0.3766949938425084,0.40120841629719445,0.93890102635203,True
NCIH2347_LUNG,0.948087925016119,0.9308406594958996,0.5619908863061854,0.7187665710784666,0.7818823369358308,True
NCIH23_LUNG,0.9806260613716338,0.9635798220100328,0.3391236726963049,0.41426649898651485,0.8186123510492795,True
NCIH2444_LUNG,0.9681706504754468,0.9597088805822426,0.4219847782607906,0.5163849668851904,0.8171902850041951,True
NCIH322_LUNG,0.9671076481409663,0.9540652270562857,0.45485386347691886,0.46706264469759545,0.9738605059529406,True
NCIH522_LUNG,0.9653577408259951,0.9510100779770726,0.4729074932640825,0.4484887911581508,1.054446627401488,True
NCIH838_LUNG,0.9852090304497485,0.9774684359744151,0.29224337457556976,0.3103785190483091,0.9415708776227627,True
NCIH841_LUNG,0.9802230367763771,0.9724580840544768,0.3413003924526701,0.35037588330041985,0.974097843829142,True
NUGC3_STOMACH,0.9733802289964563,0.9598745573715064,0.40146804012359366,0.4800235590822181,0.8363507009763879,True
OAW42_OVARY,0.9881700295844617,0.9777768210780096,0.25937418897707093,0.2948369566807203,0.8797207510792072,True
OSRC2_KIDNEY,0.9698166471901897,0.9556033278424069,0.4294010178867051,0.4481862355410498,0.9580861343685237,True
PANC0403_PANCREAS,0.9672835814589238,0.9531436212282223,0.4405171223546122,0.5881941428837737,0.7489315010769458,True
PATU8988S_PANCREAS,0.9726753164148927,0.9595517065734741,0.40446407155174957,0.49921567800473987,0.8101990569853644,True
PC3_PROSTATE,0.9784194374176103,0.9683393334831935,0.3612118234390888,0.3433550885578204,1.0520066120361615,True
QGP1_PANCREAS,0.9382301308545141,0.9242631119422594,0.6162020617753732,0.7112018374557706,0.8664236076494876,True
RCC10RGB_KIDNEY,0.9746700187035702,0.9585142616043729,0.39695118883758757,0.4346432492665957,0.9132804650880726,True
RH30_SOFT_TISSUE,0.9819881210749677,0.9697506321293874,0.3292570085605826,0.3468575213567543,0.949257226058336,True
SKMEL24_SKIN,0.9602072008760163,0.9442672538204161,0.5022519648923099,0.6023909781924582,0.8337640885648278,True
SKUT1_SOFT_TISSUE,0.9758915012796808,0.9593226557920909,0.3923514224799326,0.4053167987216558,0.9680117471503397,True
SNB75_CENTRAL_NERVOUS_SYSTEM,0.9590180729171809,0.9483123806283744,0.5006967355806857,0.47700834214337867,1.049660333676485,True
SNU1041_UPPER_AERODIGESTIVE_TRACT,0.9653403506727658,0.9466694361515724,0.4592172725740641,0.5544049168694227,0.8283066376235297,True
SNU1105_CENTRAL_NERVOUS_SYSTEM,0.9572339183708757,0.9437247165424519,0.51565265163385,0.4936128851629753,1.0446499010324617,True
SNU1214_UPPER_AERODIGESTIVE_TRACT,0.9370858921530624,0.920898687456756,0.620999498645574,0.829361981923992,0.7487677421684448,True
SNU245_BILIARY_TRACT,0.9641057280910161,0.9476763204065756,0.4601524802602402,0.5254820693641631,0.8756768443441426,True
SNU410_PANCREAS,0.9515409540279839,0.9277791845545637,0.543072133300935,0.618465366698944,0.8780962727138302,False
SNU61_LARGE_INTESTINE,0.9432281983614438,0.9245983456871383,0.5927582238645536,0.7252971653527832,0.8172625679244686,False
SNU685_ENDOMETRIUM,0.9712535614637522,0.9559604487815861,0.4138465987068198,0.4126459452243094,1.0029096456572661,True
SW480_LARGE_INTESTINE,0.9624133753477175,0.9484540917731771,0.47800203414164144,0.6229083190618584,0.7673714084627165,True
SW48_LARGE_INTESTINE,0.9560730897475381,0.9402594133028054,0.5101839078628809,0.6064816139164795,0.8412190842328486,True
SW579_THYROID,0.9581714888140455,0.9431019494207373,0.5147930372171021,0.5742559918135315,0.8964521825734162,True
SW900_LUNG,0.9630062512185893,0.9500150139476093,0.45895526811953813,0.5942991916965223,0.7722629856005301,True
TE11_OESOPHAGUS,0.9761589225743001,0.9616733875215697,0.38467120031031277,0.4168497149738268,0.9228054775915238,True
TE6_OESOPHAGUS,0.9675298693765538,0.9459070972490793,0.4391374791303188,0.5068762165542217,0.8663603948822154,True
TEN_ENDOMETRIUM,0.9716461137947079,0.9532887229812796,0.41473679102153327,0.43619803843442156,0.9507993032478645,True
TUHR4TKB_KIDNEY,0.9628489230681397,0.9481883986944682,0.4785841052752165,0.4702846029011269,1.0176478292567757,True
UACC257_SKIN,0.9817980520131934,0.9718068498929516,0.32786245948196613,0.5961308933022841,0.549984010501054,True
