cell_line,depmap_id,lineage,outer_fold,model,rmse_delta,nrmse_delta,pcc_delta,spearman_delta,signed_top50_overlap,pcc_context,rmse_gain_vs_b1,nrmse_gain_vs_b1,rmse_gain_vs_b4,nrmse_gain_vs_b4
COV434_OVARY,ACH-000123,ovary,1,CCLR,0.3440352620401002,0.9718012241288179,0.2563069668142802,0.21874095965771728,0.08,0.1286874892065043,0.002633721808407763,0.007439510886901757,-0.0011783963143717213,-0.0033286325768602243
GCIY_STOMACH,ACH-000047,gastric,1,CCLR,0.20981161184338143,0.842374267302883,0.5398693125115159,0.42373371782372393,0.25,0.09909776500140174,0.001205690633982709,0.004840736675495783,-0.0007669488386357337,-0.0030792288392825773
GP2D_LARGE_INTESTINE,ACH-000982,colorectal,1,CCLR,0.2619433594228724,0.9180474731657572,0.4139763951273744,0.3326869551853938,0.16999999999999998,0.09030255024787817,0.00014807686165985157,0.0005189732199383235,0.001134946575932383,0.00397771044285522
LI7_LIVER,ACH-000471,liver,1,CCLR,0.42713931881994077,0.9686293592215853,0.26147453489250383,0.2092146411817227,0.11,0.033339720903331885,-0.0013027355495983661,-0.002954230259412327,0.00023752791305881038,0.0005386451213600374
LN229_CENTRAL_NERVOUS_SYSTEM,ACH-000595,central_nervous_system,1,CCLR,0.3122775130853467,0.8643769857052633,0.49270147389687263,0.37795055525905435,0.22,0.11356072641234698,0.0016642293028156785,0.004606548496167373,0.00011665874445310198,0.0003229087259287722
MDAMB435S_SKIN,ACH-000884,skin,1,CCLR,0.2715737924889828,0.882381185049653,0.487990064379278,0.3751078174011868,0.2,0.07771830576354859,-0.0014158432731228299,-0.004600272558455298,0.00012129160348600676,0.0003940933616595199
NCIH1355_LUNG,ACH-000666,lung,1,CCLR,0.333087395604136,0.881931341436693,0.4541485608476355,0.3611046255074935,0.14,0.011999624554213361,-0.0017888335501991537,-0.004736379680992386,-0.0012348525344258454,-0.0032695777941024184
NCIH2126_LUNG,ACH-000785,lung,1,CCLR,0.2862780769041448,0.9574528244852393,0.3390006631205887,0.2530407247792436,0.24,0.07424590582222054,0.00026095885899790616,0.0008727730719864102,0.0022058996379332174,0.007377598947534314
NCIH522_LUNG,ACH-000343,lung,1,CCLR,0.3251809961079988,0.9646968823896176,0.279943180149035,0.24292578196984296,0.14,0.19138288383481883,0.0043878223686596995,0.013017115422451098,-0.0009200500113710763,-0.0027294626323040028
NCIH841_LUNG,ACH-000292,lung,1,CCLR,0.23741056711085692,0.8973486987587471,0.4439932890484088,0.36253109443961523,0.25,0.1857577701157448,0.004122940998655733,0.015583618645227615,-0.0009616493802205306,-0.003634778478921352
PANC0403_PANCREAS,ACH-000235,pancreas,1,CCLR,0.37464611242803214,0.8612757347010405,0.5000996979467264,0.3826507346661716,0.22,0.2036140357096372,0.007784658574509495,0.017896188725154194,0.0010335688573878676,0.0023760763757607606
SKUT1_SOFT_TISSUE,ACH-000939,soft_tissue,1,CCLR,0.277178880440213,0.9142157820256338,0.41556518605263354,0.31831187536645944,0.21,0.09351187158952178,0.0013994542268016552,0.004615803117223871,-0.0017571709355682086,-0.005795655853944592
SNU1214_UPPER_AERODIGESTIVE_TRACT,ACH-000715,upper_aerodigestive,1,CCLR,0.5724743722709886,0.9277138412399315,0.36905391642666846,0.3039754606640849,0.08,0.09078914540464672,0.0024247870045949194,0.00392944833023301,-0.0009430381694449652,-0.0015282248516053087
TEN_ENDOMETRIUM,ACH-000397,uterus,1,CCLR,0.30316997811082785,0.9361213252087148,0.35927104443748376,0.28847207665128966,0.16,0.08476090182617396,0.001063633545005327,0.0032842633360049556,-0.0001500539409039492,-0.0004633331271358676
TUHR4TKB_KIDNEY,ACH-000495,kidney,1,CCLR,0.32690769977806045,0.9311689884258154,0.37092573528986894,0.2989820882581015,0.12,0.09685856861923339,0.0016455171924068535,0.004687116823895665,-0.0008278422284823672,-0.0023580387093830035
42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323,central_nervous_system,2,CCLR,0.21210024853651688,0.8860611238708992,0.4963708660464797,0.37526514513211984,0.32,0.12962292238356685,0.001886073810759309,0.007879183037247328,-4.386545545959075e-05,-0.00018325049136802551
786O_KIDNEY,ACH-000649,kidney,2,CCLR,0.188395856343148,0.8846544246952028,0.5262150683653377,0.38769880813043567,0.35,0.2047581083900742,0.00482962471592277,0.022678571373545897,-0.0005274720930955046,-0.002476861912558248
CAOV3_OVARY,ACH-000713,ovary,2,CCLR,0.295446056991156,0.90205946950597,0.43933981783022596,0.3426008954466264,0.24000000000000002,0.0029907810509345006,-0.0011703595577912118,-0.003573355937067091,-0.0004913942840141239,-0.0015003309628507377
COLO680N_OESOPHAGUS,ACH-000717,esophagus,2,CCLR,0.27478597050426434,0.8844511100603033,0.48096092661265094,0.35905731671162333,0.25,0.0658069210241909,-0.00037196172320214105,-0.0011972298235690682,-0.0008912282482380629,-0.0028685882762671255
G401_SOFT_TISSUE,ACH-000096,rhabdoid,2,CCLR,0.2909638583271528,0.9126590186296466,0.3993659661946362,0.35486271563808075,0.11000000000000001,0.07535251123924162,0.0004697698002308348,0.0014735151208314923,-0.0010394592541144165,-0.0032604457069678183
HCC1143_BREAST,ACH-000374,breast,2,CCLR,0.301282993997939,0.9205555618286966,0.4192803788623671,0.3189480723244182,0.24,0.014354883717050135,-0.0008022766193364061,-0.0024513172624017754,-0.00025187346584992776,-0.00076958714724773
HS766T_PANCREAS,ACH-000178,pancreas,2,CCLR,0.568653150915434,0.9091665144989092,0.42834369075095974,0.3632589207777355,0.07,0.10086324965347573,0.001811014342482431,0.002895462013727812,-6.39784834877144e-05,-0.00010228923332578077
IGR1_SKIN,ACH-000882,skin,2,CCLR,0.291126736722564,0.8515805915108888,0.5211586980760258,0.40747274330962985,0.2,0.19172689877779986,0.00499317565430113,0.014605637136171579,-0.0003901618025067277,-0.0011412700266008047
LUDLU1_LUNG,ACH-000390,lung,2,CCLR,0.32184177298504646,0.9328941267693146,0.3738123100970405,0.2836713676277811,0.19,0.06276724460273882,-0.0005759464118443858,-0.001669444646542062,-0.0002909370404917677,-0.0008433133269714066
MSTO211H_PLEURA,ACH-000335,mesothelioma,2,CCLR,0.23747719395723058,0.8096607741158027,0.5791501326299096,0.4412698324553844,0.27,0.06783797675165582,-0.0009942469349356609,-0.003389810741772803,-0.0013332039892545722,-0.004545459528162321
NCIH1581_LUNG,ACH-000015,lung,2,CCLR,0.24529752195632532,0.8963890274040777,0.4381395770748394,0.36623544379206363,0.19,0.13557966685095726,0.002265320127350423,0.008278143576501695,-0.0005184079685707221,-0.0018944146318297106
NCIH1793_LUNG,ACH-000888,lung,2,CCLR,0.319678569776275,0.9396851191185014,0.35457431472493695,0.2830699280664656,0.15000000000000002,0.062449244329364904,0.0005336308072281803,0.0015685910037899209,-0.00015418197652883325,-0.000453213079255943
NCIH1915_LUNG,ACH-000434,lung,2,CCLR,0.34205577169796125,0.8704246382102919,0.495745742879234,0.404911671753049,0.18,0.09673409453487153,0.001527128086878382,0.0038860619305545185,-0.0005625656124327305,-0.0014315530103192753
NCIH2444_LUNG,ACH-000186,lung,2,CCLR,0.3276773808335969,0.8500098335186141,0.540005326733896,0.41178193099976335,0.27,0.20043730128235218,0.005416181797914865,0.014049818686417415,0.00022245607501603093,0.0005770610434220336
PC3_PROSTATE,ACH-000090,prostate,2,CCLR,0.2713803136734897,1.051329897610061,0.2107539419475765,0.17621088822455067,0.1,-0.06840373561230503,-0.0014730581076028981,-0.005706641017826808,0.0003179467455082241,0.0012317286942296057
SNU1041_UPPER_AERODIGESTIVE_TRACT,ACH-000618,upper_aerodigestive,2,CCLR,0.3581874730633254,0.8748716383176268,0.4819244084848807,0.3773211756792814,0.16,0.101959253022787,0.0016377364672650607,0.004000165538998068,-0.0006134985811634963,-0.0014984681184345705
SNU1105_CENTRAL_NERVOUS_SYSTEM,ACH-000368,central_nervous_system,2,CCLR,0.336514354539369,0.9105279297459334,0.40626092088616356,0.33472622706290983,0.13,0.12568393995705282,0.002684950996421742,0.007264839788446942,6.033588532089462e-05,0.00016325457743338045
SW48_LARGE_INTESTINE,ACH-000958,colorectal,2,CCLR,0.4282740602984247,0.9528961507018084,0.2899226426226752,0.25430213867348256,0.08,0.04011671500615282,-0.0004923195983862483,-0.001095395434153601,-0.00028559495567820337,-0.0006354396848968769
SW579_THYROID,ACH-000163,thyroid,2,CCLR,0.3934214637519495,0.9233149041984023,0.38356355213192106,0.30381123713496805,0.13,0.08740322328992953,0.0015864598388989903,0.003723238687076802,-0.0005226047935816824,-0.0012264933141107326
769P_KIDNEY,ACH-000411,kidney,3,CCLR,0.26082793308821023,0.8913700622393901,0.45902540833467603,0.32983516222601783,0.36,0.061298781694569274,0.00017861452676209977,0.0006104087087288601,-0.0008944758338853553,-0.0030568389293348375
ACCMESO1_PLEURA,ACH-000086,mesothelioma,3,CCLR,0.18984935045790247,0.8696533236601613,0.5230495993803613,0.38503713256202005,0.4,0.13992182937191677,0.002366923166725321,0.010842294660614815,1.668241676483495e-05,7.64180606950271e-05
CAL62_THYROID,ACH-000174,thyroid,3,CCLR,0.24056621151638302,0.7820631429095429,0.6415208917751957,0.49722178341507295,0.27,0.0641065790764862,0.0007683545091388411,0.002497864261560845,-0.0007524788353380218,-0.002446253608218152
CJM_SKIN,ACH-000458,skin,3,CCLR,0.4351820813528066,0.8971554361343612,0.43536319144888813,0.34813665211694056,0.12,0.12860161676730097,0.0032363415973775123,0.006671923274619185,-0.00015764990653982514,-0.0003250052718590801
HCC1419_BREAST,ACH-000277,breast,3,CCLR,0.41589274300446893,0.9463307994416527,0.3014280037288568,0.23829988243385947,0.05,0.04530708771670609,0.0005432486353246224,0.001236118985025958,0.00025410809567377735,0.0005782027250257338
HEP3B217_LIVER,ACH-000625,liver,3,CCLR,0.49658645450185324,0.9594405496623398,0.267634748823488,0.2085680073545521,0.09,0.049097448865170215,0.0006215534681820456,0.001200885758664838,7.792273032436459e-06,1.5055228860139103e-05
HUCCT1_BILIARY_TRACT,ACH-000976,bile_duct,3,CCLR,0.35872591513347835,0.8313156780930463,0.5844352757919239,0.4355549370822851,0.25,0.2261333019678061,0.005016867149363835,0.01162614726238631,-5.39807310498408e-05,-0.00012509558452156178
KNS42_CENTRAL_NERVOUS_SYSTEM,ACH-000622,central_nervous_system,3,CCLR,0.2878884702015285,0.958996639050166,0.32846224571471644,0.2707179051297902,0.13,0.09811087340031906,0.001384686629808063,0.00461258425248523,0.00021238674731405283,0.0007074898717216449
KYSE270_OESOPHAGUS,ACH-000873,esophagus,3,CCLR,0.25242994108331845,0.8761280860489264,0.4876704063004588,0.38160211050480397,0.25,0.022032774693821925,-0.0004992967518581692,-0.0017329477862197962,0.000461044745409922,0.001600183594091309
LK2_LUNG,ACH-000769,lung,3,CCLR,0.3085490621838895,0.9664736523284703,0.2859426599225698,0.23377597789899474,0.16,0.08166897161999934,0.0009928011700084394,0.0031097685600554037,-7.157451358891231e-05,-0.0002241941073234388
LMSU_STOMACH,ACH-000255,gastric,3,CCLR,0.23971843318747246,0.8463878124991475,0.526350814081517,0.41249970729854624,0.24000000000000002,0.17179964045966456,0.0033285436922068645,0.0117522827802381,-0.00029305069222876345,-0.001034691120948894
NCIH1299_LUNG,ACH-000510,lung,3,CCLR,0.17753920428194878,0.7996726217505264,0.6019950833814769,0.45928873949264787,0.39,0.16515922273202582,0.0027857893573068615,0.012547760862240076,-0.00021073122780118636,-0.0009491762346351962
NCIH1693_LUNG,ACH-000021,lung,3,CCLR,0.24346703872419986,0.8380875013425513,0.5357547716040514,0.4310136094836412,0.32,-0.005045302665173582,-0.0016910932561383374,-0.005821256663739671,-0.00015210379859986745,-0.0005235874768971804
OAW42_OVARY,ACH-000704,ovary,3,CCLR,0.1775762751290315,0.8139291650068479,0.5772403516697768,0.43300295216678963,0.37,0.10938493412131016,0.0010403327847022803,0.0047684139909269785,-0.0010370883305484135,-0.004753542883520145
PATU8988S_PANCREAS,ACH-000022,pancreas,3,CCLR,0.33224559282713795,0.8945421833567134,0.46478163292033725,0.3490122366933512,0.25,0.14037588915742832,0.0024023140756200823,0.006468020418353038,-0.0008966189284127513,-0.0024140680002295856
SKMEL24_SKIN,ACH-000822,skin,3,CCLR,0.3851105932881572,0.8629496569392496,0.5006961714657877,0.38793825994380926,0.29,0.22466286611514036,0.009770647046274616,0.021893909603126094,-0.00040445942557659764,-0.0009063062108136677
SW480_LARGE_INTESTINE,ACH-000842,colorectal,3,CCLR,0.43994825174469093,0.9401055616776233,0.357952918791406,0.25866166025729304,0.19,0.046186849428052026,0.00015864352400929427,0.00033899818593174924,1.7285055847859887e-05,3.6935655664316336e-05
SW900_LUNG,ACH-000669,lung,3,CCLR,0.38101413329172173,0.8675161760339971,0.5056241410428586,0.3918047133601679,0.16999999999999998,0.06390304327674304,0.000794718166828523,0.0018094627072113845,0.00012058706054923762,0.0002745599611834182
EFM192A_BREAST,ACH-000117,breast,4,CCLR,0.3761348079191605,0.952591853622983,0.2995281540353711,0.24570217907003983,0.13,0.07574077460281581,-5.539823023020807e-05,-0.00014030050320090748,0.0007126662069208423,0.001804884867797396
HEC1B_ENDOMETRIUM,ACH-000941,uterus,4,CCLR,0.26122641669067886,0.9063593508956737,0.436564260515981,0.3431331523115859,0.17,0.0928726723517356,0.0012882393909140477,0.00446971570846022,-0.0012616981993823773,-0.004377627559668085
HS852T_SKIN,ACH-000274,skin,4,CCLR,0.5609529895748109,0.9379666682366344,0.3249206694159263,0.27994544879174,0.06,0.10876093327556231,0.004106633036512264,0.006866680414427506,0.0003682541881611101,0.0006157559730547435
IGROV1_OVARY,ACH-000966,ovary,4,CCLR,0.21470343169326295,0.8724195631867903,0.4995810910404799,0.38853027594633754,0.19,0.10875174083546495,0.0013669054426152516,0.005554243077342758,-0.0012697816047686494,-0.00515959295218682
JHH5_LIVER,ACH-000734,liver,4,CCLR,0.3705313097789515,0.8928999495802258,0.42907797681386206,0.34081367263341916,0.18,0.046182460880886504,-0.004313045070350741,-0.010393501505043923,-0.004658360969464981,-0.011225637793586651
KNS60_CENTRAL_NERVOUS_SYSTEM,ACH-000445,central_nervous_system,4,CCLR,0.27857316327442405,0.9338711029408637,0.3884683230551244,0.29566291639309056,0.25,0.12263215977523152,0.0024553686840665945,0.008231223116265785,0.0008640674851457253,0.0028966453404323245
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate,4,CCLR,0.26780800379982206,0.9948577420471423,0.283426063684856,0.2380296104866945,0.16,0.13984344388444167,0.001260850967730598,0.004683830688466006,-0.002254704848175859,-0.008375816041389261
NCIH1048_LUNG,ACH-000866,lung,4,CCLR,0.4071273109635273,0.9574260695917707,0.2794197998711138,0.23832890237005275,0.09,0.10686717129189036,0.002096910937893659,0.004931227022820339,0.001592571657749231,0.0037451912012816946
NCIH1573_LUNG,ACH-000916,lung,4,CCLR,0.37250022752804224,0.9329853552205577,0.3508931119935745,0.2885344702655923,0.15,0.06468114488296721,0.0005300762820186766,0.0013276593454858432,-0.000328229871345731,-0.0008221032914360604
NCIH1650_LUNG,ACH-000035,lung,4,CCLR,0.35035792937380233,0.9329989210256225,0.3569298448732174,0.2968092503506812,0.16999999999999998,0.057838651224757016,0.0003840790560499241,0.0010227978728027942,0.0007106391720420602,0.0018924235051246407
NCIH322_LUNG,ACH-000837,lung,4,CCLR,0.3190974959111853,0.911481005257991,0.4054380498525502,0.32787184506138656,0.19,0.0693192000371759,0.0003272543226093272,0.0009347804441248719,-0.0003304181493554159,-0.0009438177070926201
NCIH838_LUNG,ACH-000416,lung,4,CCLR,0.21054494520350164,0.9007801136954778,0.46655088043149034,0.3632564174246419,0.26,0.17521208835146612,0.0035000379967437545,0.014974306894891432,0.003651610352517959,0.01562278298979558
NUGC3_STOMACH,ACH-000911,gastric,4,CCLR,0.31261188907408644,0.8737109591383462,0.4840990541312876,0.38941934786365795,0.16999999999999998,0.09726149467961906,0.0014873899555601922,0.004157068077398796,-0.00038516736184474043,-0.0010764943909934432
OSRC2_KIDNEY,ACH-000159,kidney,4,CCLR,0.30728238299840444,0.9152765560389503,0.40533245673465884,0.34353101875042447,0.14,0.0485100558469133,-0.0003190631665772603,-0.0009503669992861896,-8.912660819315743e-05,-0.0002654740379270937
QGP1_PANCREAS,ACH-000347,pancreas,4,CCLR,0.4947482420270278,0.9342564324040323,0.3248150906678653,0.2750453804186533,0.08,0.025593587268619045,-0.001664079106029559,-0.003142359035916087,0.0013889630800559272,0.002622844472569219
RH30_SOFT_TISSUE,ACH-000833,rhabdomyosarcoma,4,CCLR,0.25642752576400857,0.9697607296277859,0.33856013019534503,0.27279378734048554,0.14,0.09868969925435449,0.0013053984958517062,0.004936771877435686,0.0004874161678970479,0.0018433163803456276
SNB75_CENTRAL_NERVOUS_SYSTEM,ACH-000504,central_nervous_system,4,CCLR,0.34212404357797455,0.9521901451248441,0.3286095689685321,0.28645372855674167,0.09,0.05795036123038076,-0.00012547878991198136,-0.000349229086406333,0.00198362066415686,0.0055207579926949135
SNU245_BILIARY_TRACT,ACH-000268,bile_duct,4,CCLR,0.3527835995720151,0.9046507962206484,0.40946249933846857,0.33619171551339716,0.13,0.09656895650882914,0.0013178713015224996,0.00337944656068212,-0.0009302263295092317,-0.002385399975159963
TE11_OESOPHAGUS,ACH-000488,esophagus,4,CCLR,0.2949661815917082,0.956913420898865,0.37847461659025505,0.27803908401845756,0.18,0.05747032568936979,-0.006137960241310969,-0.01991244047083407,-0.0010178021019801031,-0.0033018988344636346
