outer_fold,component,direction,gene_id,gene_symbol,loading
0,2,positive,ENSG00000167656,LY6D,0.05748419836163521
0,2,positive,ENSG00000167772,ANGPTL4,0.05996457859873772
0,3,negative,ENSG00000181617,FDCSP,-0.04966482147574425
0,3,negative,ENSG00000181027,FKRP,-0.04221772402524948
0,3,negative,ENSG00000223784,RP11-554I8.2,-0.04078245535492897
0,3,negative,ENSG00000124116,WFDC3,-0.040580131113529205
0,3,negative,ENSG00000228192,RP11-342M1.3,-0.038313403725624084
0,3,negative,ENSG00000178809,TRIM73,-0.038075949996709824
0,3,negative,ENSG00000080573,COL5A3,-0.03770491108298302
0,3,negative,ENSG00000244165,P2RY11,-0.03769123926758766
0,3,negative,ENSG00000170293,CMTM8,-0.03740356117486954
0,3,negative,ENSG00000115827,DCAF17,-0.0371934212744236
0,3,negative,ENSG00000048707,VPS13D,-0.0366402268409729
0,3,negative,ENSG00000105825,TFPI2,-0.03656274080276489
0,3,negative,ENSG00000051341,POLQ,-0.03585090860724449
0,3,negative,ENSG00000125864,BFSP1,-0.03569785878062248
0,3,negative,ENSG00000047634,SCML1,-0.03494281694293022
0,3,negative,ENSG00000272902,RP11-299H21.1,-0.034839656203985214
0,3,negative,ENSG00000173548,SNX33,-0.03451519459486008
0,3,negative,ENSG00000271918,CTD-2287O16.5,-0.03441667556762695
0,3,negative,ENSG00000162650,ATXN7L2,-0.03423839807510376
0,3,negative,ENSG00000162738,VANGL2,-0.034091003239154816
0,3,negative,ENSG00000133103,COG6,-0.034005261957645416
0,3,negative,ENSG00000174236,REP15,-0.033992499113082886
0,3,negative,ENSG00000116675,DNAJC6,-0.03339530527591705
0,3,negative,ENSG00000165507,C10orf10,-0.03336041420698166
0,3,negative,ENSG00000241043,GVQW1,-0.03322029486298561
0,3,negative,ENSG00000108176,DNAJC12,-0.03304610401391983
0,3,negative,ENSG00000167528,ZNF641,-0.03304479271173477
0,3,negative,ENSG00000114115,RBP1,-0.032913774251937866
0,3,negative,ENSG00000167081,PBX3,-0.03288547322154045
0,3,negative,ENSG00000177602,GSG2,-0.03288014605641365
0,3,negative,ENSG00000155256,ZFYVE27,-0.03284817188978195
0,3,negative,ENSG00000204301,NOTCH4,-0.03281059488654137
0,3,negative,ENSG00000272335,RP11-53O19.3,-0.03269322216510773
0,3,negative,ENSG00000125846,ZNF133,-0.0325656421482563
0,3,negative,ENSG00000113790,EHHADH,-0.03255140781402588
0,3,negative,ENSG00000128311,TST,-0.03250300884246826
0,3,negative,ENSG00000124615,MOCS1,-0.032401423901319504
0,3,negative,ENSG00000111087,GLI1,-0.032383598387241364
0,3,negative,ENSG00000167765,AC018755.1,-0.032310694456100464
0,3,negative,ENSG00000224699,LAMTOR5-AS1,-0.03210798278450966
0,3,negative,ENSG00000158158,CNNM4,-0.031675711274147034
0,3,negative,ENSG00000178700,DHFRL1,-0.03165338560938835
0,3,negative,ENSG00000172493,AFF1,-0.03161376342177391
0,3,negative,ENSG00000168781,PPIP5K1,-0.03140529990196228
0,3,negative,ENSG00000165271,NOL6,-0.03138622269034386
0,3,negative,ENSG00000138134,STAMBPL1,-0.030979981645941734
0,3,negative,ENSG00000100601,ALKBH1,-0.030911803245544434
0,3,negative,ENSG00000197182,FLJ27365,-0.030704550445079803
0,3,negative,ENSG00000152229,PSTPIP2,-0.03052089549601078
0,3,negative,ENSG00000198518,HIST1H4E,-0.03046814724802971
0,3,positive,ENSG00000119922,IFIT2,0.03501279279589653
0,3,positive,ENSG00000140006,WDR89,0.03505019471049309
0,3,positive,ENSG00000156675,RAB11FIP1,0.0351119264960289
0,3,positive,ENSG00000109066,TMEM104,0.03523674234747887
0,3,positive,ENSG00000179562,GCC1,0.035332147032022476
0,3,positive,ENSG00000168679,SLC16A4,0.03540828451514244
0,3,positive,ENSG00000184402,SS18L1,0.03546319529414177
0,3,positive,ENSG00000087253,LPCAT2,0.03553071618080139
0,3,positive,ENSG00000174839,DENND6A,0.03560201823711395
0,3,positive,ENSG00000073849,ST6GAL1,0.03587041050195694
0,3,positive,ENSG00000114491,UMPS,0.03598220273852348
0,3,positive,ENSG00000175874,CREG2,0.036407824605703354
0,3,positive,ENSG00000137812,CASC5,0.03645949065685272
0,3,positive,ENSG00000101624,CEP76,0.03653792291879654
0,3,positive,ENSG00000100324,TAB1,0.03658963367342949
0,3,positive,ENSG00000142039,CCDC97,0.03667532652616501
0,3,positive,ENSG00000138646,HERC5,0.037180546671152115
0,3,positive,ENSG00000197380,DACT3,0.03734500706195831
0,3,positive,ENSG00000266753,RP11-690G19.3,0.037417106330394745
0,3,positive,ENSG00000174796,THAP6,0.03788343444466591
0,3,positive,ENSG00000235159,RP6-109B7.4,0.03789505362510681
0,3,positive,ENSG00000120129,DUSP1,0.03792273998260498
0,3,positive,ENSG00000136943,CTSV,0.037990376353263855
0,3,positive,ENSG00000166578,IQCD,0.03805584833025932
0,3,positive,ENSG00000185201,IFITM2,0.03821435570716858
0,3,positive,ENSG00000082497,SERTAD4,0.03836609795689583
0,3,positive,ENSG00000162552,WNT4,0.03838605433702469
0,3,positive,ENSG00000173210,ABLIM3,0.0388505682349205
0,3,positive,ENSG00000204599,TRIM39,0.03899975121021271
0,3,positive,ENSG00000128578,STRIP2,0.039026759564876556
0,3,positive,ENSG00000135116,HRK,0.039669472724199295
0,3,positive,ENSG00000104812,GYS1,0.03980863094329834
0,3,positive,ENSG00000146674,IGFBP3,0.040332768112421036
0,3,positive,ENSG00000269439,CTD-3131K8.2,0.041314247995615005
0,3,positive,ENSG00000171320,ESCO2,0.041409265249967575
0,3,positive,ENSG00000107201,DDX58,0.04152132198214531
0,3,positive,ENSG00000185973,TMLHE,0.041751258075237274
0,3,positive,ENSG00000076513,ANKRD13A,0.04191259667277336
0,3,positive,ENSG00000174428,GTF2IRD2B,0.04237385466694832
0,3,positive,ENSG00000139719,VPS33A,0.04238663241267204
0,3,positive,ENSG00000140463,BBS4,0.04279828816652298
0,3,positive,ENSG00000143995,MEIS1,0.04327863082289696
0,3,positive,ENSG00000166387,PPFIBP2,0.04356084018945694
0,3,positive,ENSG00000006606,CCL26,0.04357462376356125
0,3,positive,ENSG00000110013,SIAE,0.043815407902002335
0,3,positive,ENSG00000159208,C1orf51,0.04748449847102165
0,3,positive,ENSG00000198551,ZNF627,0.050687048584222794
0,3,positive,ENSG00000143556,S100A7,0.051378119736909866
0,3,positive,ENSG00000123685,BATF3,0.05198032408952713
0,3,positive,ENSG00000084636,COL16A1,0.053501032292842865
0,4,negative,ENSG00000165171,WBSCR27,-0.05145334079861641
0,4,negative,ENSG00000108691,CCL2,-0.04849095270037651
0,4,negative,ENSG00000175274,TP53I11,-0.04837929084897041
0,4,negative,ENSG00000165507,C10orf10,-0.048247579485177994
0,4,negative,ENSG00000205213,LGR4,-0.04547473415732384
0,4,negative,ENSG00000111335,OAS2,-0.04533441364765167
0,4,negative,ENSG00000227507,LTB,-0.044675394892692566
0,4,negative,ENSG00000152377,SPOCK1,-0.04438924416899681
0,4,negative,ENSG00000183486,MX2,-0.04437562823295593
0,4,negative,ENSG00000169245,CXCL10,-0.044039320200681686
0,4,negative,ENSG00000015532,XYLT2,-0.04372908174991608
0,4,negative,ENSG00000164176,EDIL3,-0.04150447994470596
0,4,negative,ENSG00000172007,RAB33B,-0.04150177538394928
0,4,negative,ENSG00000108846,ABCC3,-0.041414372622966766
0,4,negative,ENSG00000171617,ENC1,-0.041348572820425034
0,4,negative,ENSG00000133106,EPSTI1,-0.041256196796894073
0,4,negative,ENSG00000188641,DPYD,-0.04070088639855385
0,4,negative,ENSG00000106541,AGR2,-0.040150657296180725
0,4,negative,ENSG00000148057,IDNK,-0.04003779590129852
0,4,negative,ENSG00000122694,GLIPR2,-0.04000158980488777
0,4,negative,ENSG00000023902,PLEKHO1,-0.03988521173596382
0,4,negative,ENSG00000137673,MMP7,-0.039816658943891525
0,4,negative,ENSG00000138613,APH1B,-0.0394720733165741
0,4,negative,ENSG00000118162,KPTN,-0.03941364586353302
0,4,negative,ENSG00000224259,LINC01133,-0.03924047574400902
0,4,negative,ENSG00000106560,GIMAP2,-0.03870992735028267
0,4,negative,ENSG00000138061,CYP1B1,-0.03841240704059601
0,4,negative,ENSG00000139160,METTL20,-0.03838716819882393
0,4,negative,ENSG00000185215,TNFAIP2,-0.03821621835231781
0,4,negative,ENSG00000168386,FILIP1L,-0.038157716393470764
0,4,negative,ENSG00000123096,SSPN,-0.038060955703258514
0,4,negative,ENSG00000114854,TNNC1,-0.03747139498591423
0,4,negative,ENSG00000270504,RP11-420L9.5,-0.03729361295700073
0,4,negative,ENSG00000106868,SUSD1,-0.03724293410778046
0,4,negative,ENSG00000107551,RASSF4,-0.03688470646739006
0,4,negative,ENSG00000126746,ZNF384,-0.03668062388896942
0,4,negative,ENSG00000164136,IL15,-0.03637039661407471
0,4,negative,ENSG00000119917,IFIT3,-0.036355625838041306
0,4,negative,ENSG00000107201,DDX58,-0.03635454550385475
0,4,negative,ENSG00000059804,SLC2A3,-0.03630094230175018
0,4,negative,ENSG00000185745,IFIT1,-0.03628282994031906
0,4,negative,ENSG00000125846,ZNF133,-0.03613390028476715
0,4,negative,ENSG00000166436,TRIM66,-0.0361299104988575
0,4,negative,ENSG00000135048,TMEM2,-0.03608790412545204
0,4,negative,ENSG00000164715,LMTK2,-0.036060880869627
0,4,negative,ENSG00000260231,JHDM1D-AS1,-0.03592710196971893
0,4,negative,ENSG00000150347,ARID5B,-0.03585308417677879
0,4,negative,ENSG00000184384,MAML2,-0.03581851348280907
0,4,negative,ENSG00000235169,SMIM1,-0.03577838093042374
0,4,negative,ENSG00000181381,DDX60L,-0.03562169149518013
0,4,positive,ENSG00000158427,TMSB15B,0.02424907498061657
0,4,positive,ENSG00000164484,TMEM200A,0.02457020990550518
0,4,positive,ENSG00000167395,ZNF646,0.024638958275318146
0,4,positive,ENSG00000246228,CASC8,0.024759383872151375
0,4,positive,ENSG00000198929,NOS1AP,0.025041721761226654
0,4,positive,ENSG00000143546,S100A8,0.02509637363255024
0,4,positive,ENSG00000196081,ZNF724P,0.025099096819758415
0,4,positive,ENSG00000115648,MLPH,0.025197157636284828
0,4,positive,ENSG00000121211,MND1,0.025237107649445534
0,4,positive,ENSG00000198298,ZNF485,0.025261851027607918
0,4,positive,ENSG00000069482,GAL,0.02539054863154888
0,4,positive,ENSG00000138134,STAMBPL1,0.025785306468605995
0,4,positive,ENSG00000128564,VGF,0.02597304806113243
0,4,positive,ENSG00000205639,MFSD2B,0.026193175464868546
0,4,positive,ENSG00000152229,PSTPIP2,0.026717711240053177
0,4,positive,ENSG00000212724,KRTAP2-3,0.027313051745295525
0,4,positive,ENSG00000117152,RGS4,0.027361517772078514
0,4,positive,ENSG00000203817,FAM72C,0.027398310601711273
0,4,positive,ENSG00000148835,TAF5,0.027618713676929474
0,4,positive,ENSG00000109805,NCAPG,0.027839764952659607
0,4,positive,ENSG00000231298,LINC00704,0.028209513053297997
0,4,positive,ENSG00000158246,FAM46B,0.028452595695853233
0,4,positive,ENSG00000171346,KRT15,0.028858114033937454
0,4,positive,ENSG00000213588,ZBTB9,0.029060781002044678
0,4,positive,ENSG00000123485,HJURP,0.02929680049419403
0,4,positive,ENSG00000156983,BRPF1,0.02949758619070053
0,4,positive,ENSG00000086848,ALG9,0.02954988367855549
0,4,positive,ENSG00000076641,PAG1,0.03034401684999466
0,4,positive,ENSG00000128805,ARHGAP22,0.030344802886247635
0,4,positive,ENSG00000135476,ESPL1,0.03067711368203163
0,4,positive,ENSG00000137309,HMGA1,0.03086007758975029
0,4,positive,ENSG00000104689,TNFRSF10A,0.03119514323771
0,4,positive,ENSG00000169679,BUB1,0.031199224293231964
0,4,positive,ENSG00000101187,SLCO4A1,0.03128153830766678
0,4,positive,ENSG00000198056,PRIM1,0.03132299333810806
0,4,positive,ENSG00000160352,ZNF714,0.031600221991539
0,4,positive,ENSG00000104432,IL7,0.03161358833312988
0,4,positive,ENSG00000143469,SYT14,0.031940165907144547
0,4,positive,ENSG00000198225,FKBP1C,0.033369772136211395
0,4,positive,ENSG00000226380,MIR29A,0.033423926681280136
0,4,positive,ENSG00000114790,ARHGEF26,0.03402194380760193
0,4,positive,ENSG00000082126,MPP4,0.03546689450740814
0,4,positive,ENSG00000167772,ANGPTL4,0.03621731698513031
0,4,positive,ENSG00000154217,PITPNC1,0.03665020689368248
0,4,positive,ENSG00000197467,COL13A1,0.03738630563020706
0,4,positive,ENSG00000161570,CCL5,0.0404118075966835
0,4,positive,ENSG00000240476,LINC00973,0.040660373866558075
0,4,positive,ENSG00000110031,LPXN,0.043760593980550766
0,4,positive,ENSG00000143556,S100A7,0.04580989480018616
0,4,positive,ENSG00000175592,FOSL1,0.05226650834083557
0,5,negative,ENSG00000065534,MYLK,-0.0508718267083168
0,5,negative,ENSG00000196705,ZNF431,-0.04875839129090309
0,5,negative,ENSG00000108691,CCL2,-0.045880116522312164
0,5,negative,ENSG00000182319,SGK223,-0.04394561052322388
0,5,negative,ENSG00000203880,PCMTD2,-0.04343387112021446
0,5,negative,ENSG00000106258,CYP3A5,-0.043375078588724136
0,5,negative,ENSG00000197056,ZMYM1,-0.04273148253560066
0,5,negative,ENSG00000213079,SCAF8,-0.04147754982113838
0,5,negative,ENSG00000153558,FBXL2,-0.041148796677589417
0,5,negative,ENSG00000145687,SSBP2,-0.04066646099090576
